135,4,time,val
0,0,0,0.000,0.000
0,0,1,0.000,-0.025
0,0,2,0.000,0.000
0,0,3,0.000,0.000
0,1,0,0.000,-0.025
0,1,1,0.000,0.000
0,1,2,0.000,-0.025
0,1,3,0.000,0.000
0,2,0,0.000,0.000
0,2,1,0.000,-0.025
0,2,2,0.000,0.000
0,2,3,0.000,-0.025
0,3,0,0.000,0.000
0,3,1,0.000,0.000
0,3,2,0.000,-0.025
0,3,3,0.000,0.000
1,0,0,0.017,0.000
1,0,1,0.017,-0.026
1,0,2,0.017,0.002
1,0,3,0.017,0.000
1,1,0,0.017,-0.026
1,1,1,0.017,0.000
1,1,2,0.017,-0.027
1,1,3,0.017,0.002
1,2,0,0.017,0.002
1,2,1,0.017,-0.027
1,2,2,0.017,0.000
1,2,3,0.017,-0.026
1,3,0,0.017,0.000
1,3,1,0.017,0.002
1,3,2,0.017,-0.026
1,3,3,0.017,0.000
2,0,0,0.033,0.000
2,0,1,0.033,-0.027
2,0,2,0.033,0.003
2,0,3,0.033,0.000
2,1,0,0.033,-0.027
2,1,1,0.033,0.000
2,1,2,0.033,-0.028
2,1,3,0.033,0.003
2,2,0,0.033,0.003
2,2,1,0.033,-0.028
2,2,2,0.033,0.000
2,2,3,0.033,-0.027
2,3,0,0.033,0.000
2,3,1,0.033,0.003
2,3,2,0.033,-0.027
2,3,3,0.033,0.000
3,0,0,0.050,0.000
3,0,1,0.050,-0.027
3,0,2,0.050,0.005
3,0,3,0.050,0.000
3,1,0,0.050,-0.027
3,1,1,0.050,0.000
3,1,2,0.050,-0.031
3,1,3,0.050,0.005
3,2,0,0.050,0.005
3,2,1,0.050,-0.031
3,2,2,0.050,0.000
3,2,3,0.050,-0.028
3,3,0,0.050,0.000
3,3,1,0.050,0.005
3,3,2,0.050,-0.028
3,3,3,0.050,0.000
4,0,0,0.066,0.000
4,0,1,0.066,-0.028
4,0,2,0.066,0.007
4,0,3,0.066,0.000
4,1,0,0.066,-0.028
4,1,1,0.066,0.000
4,1,2,0.066,-0.033
4,1,3,0.066,0.008
4,2,0,0.066,0.007
4,2,1,0.066,-0.033
4,2,2,0.066,0.000
4,2,3,0.066,-0.028
4,3,0,0.066,0.000
4,3,1,0.066,0.008
4,3,2,0.066,-0.028
4,3,3,0.066,0.000
5,0,0,0.082,0.000
5,0,1,0.082,-0.029
5,0,2,0.082,0.010
5,0,3,0.082,0.000
5,1,0,0.082,-0.029
5,1,1,0.082,0.000
5,1,2,0.082,-0.035
5,1,3,0.082,0.010
5,2,0,0.082,0.010
5,2,1,0.082,-0.035
5,2,2,0.082,0.000
5,2,3,0.082,-0.029
5,3,0,0.082,0.000
5,3,1,0.082,0.010
5,3,2,0.082,-0.029
5,3,3,0.082,0.000
6,0,0,0.099,0.000
6,0,1,0.099,-0.029
6,0,2,0.099,0.012
6,0,3,0.099,0.000
6,1,0,0.099,-0.029
6,1,1,0.099,0.000
6,1,2,0.099,-0.038
6,1,3,0.099,0.012
6,2,0,0.099,0.012
6,2,1,0.099,-0.038
6,2,2,0.099,0.000
6,2,3,0.099,-0.030
6,3,0,0.099,0.000
6,3,1,0.099,0.012
6,3,2,0.099,-0.030
6,3,3,0.099,0.000
7,0,0,0.115,0.000
7,0,1,0.115,-0.030
7,0,2,0.115,0.014
7,0,3,0.115,0.000
7,1,0,0.115,-0.030
7,1,1,0.115,0.000
7,1,2,0.115,-0.041
7,1,3,0.115,0.015
7,2,0,0.115,0.014
7,2,1,0.115,-0.041
7,2,2,0.115,0.000
7,2,3,0.115,-0.031
7,3,0,0.115,0.000
7,3,1,0.115,0.015
7,3,2,0.115,-0.031
7,3,3,0.115,0.000
8,0,0,0.131,0.000
8,0,1,0.131,-0.030
8,0,2,0.131,0.017
8,0,3,0.131,0.000
8,1,0,0.131,-0.030
8,1,1,0.131,0.000
8,1,2,0.131,-0.044
8,1,3,0.131,0.017
8,2,0,0.131,0.017
8,2,1,0.131,-0.044
8,2,2,0.131,0.000
8,2,3,0.131,-0.031
8,3,0,0.131,0.000
8,3,1,0.131,0.017
8,3,2,0.131,-0.031
8,3,3,0.131,0.000
9,0,0,0.148,0.000
9,0,1,0.148,-0.031
9,0,2,0.148,0.019
9,0,3,0.148,0.000
9,1,0,0.148,-0.031
9,1,1,0.148,0.000
9,1,2,0.148,-0.047
9,1,3,0.148,0.020
9,2,0,0.148,0.019
9,2,1,0.148,-0.047
9,2,2,0.148,0.000
9,2,3,0.148,-0.032
9,3,0,0.148,0.000
9,3,1,0.148,0.020
9,3,2,0.148,-0.032
9,3,3,0.148,0.000
10,0,0,0.164,0.000
10,0,1,0.164,-0.031
10,0,2,0.164,0.022
10,0,3,0.164,-0.001
10,1,0,0.164,-0.031
10,1,1,0.164,0.000
10,1,2,0.164,-0.051
10,1,3,0.164,0.023
10,2,0,0.164,0.022
10,2,1,0.164,-0.051
10,2,2,0.164,0.000
10,2,3,0.164,-0.033
10,3,0,0.164,-0.001
10,3,1,0.164,0.023
10,3,2,0.164,-0.033
10,3,3,0.164,0.000
11,0,0,0.181,0.000
11,0,1,0.181,-0.031
11,0,2,0.181,0.025
11,0,3,0.181,-0.002
11,1,0,0.181,-0.031
11,1,1,0.181,0.000
11,1,2,0.181,-0.055
11,1,3,0.181,0.026
11,2,0,0.181,0.025
11,2,1,0.181,-0.055
11,2,2,0.181,0.000
11,2,3,0.181,-0.033
11,3,0,0.181,-0.002
11,3,1,0.181,0.026
11,3,2,0.181,-0.033
11,3,3,0.181,0.000
12,0,0,0.198,0.000
12,0,1,0.198,-0.031
12,0,2,0.198,0.028
12,0,3,0.198,-0.004
12,1,0,0.198,-0.031
12,1,1,0.198,0.000
12,1,2,0.198,-0.059
12,1,3,0.198,0.029
12,2,0,0.198,0.028
12,2,1,0.198,-0.059
12,2,2,0.198,0.000
12,2,3,0.198,-0.034
12,3,0,0.198,-0.004
12,3,1,0.198,0.029
12,3,2,0.198,-0.034
12,3,3,0.198,0.000
13,0,0,0.215,0.000
13,0,1,0.215,-0.031
13,0,2,0.215,0.031
13,0,3,0.215,-0.006
13,1,0,0.215,-0.031
13,1,1,0.215,0.000
13,1,2,0.215,-0.063
13,1,3,0.215,0.032
13,2,0,0.215,0.031
13,2,1,0.215,-0.063
13,2,2,0.215,0.000
13,2,3,0.215,-0.034
13,3,0,0.215,-0.006
13,3,1,0.215,0.032
13,3,2,0.215,-0.034
13,3,3,0.215,0.000
14,0,0,0.230,0.000
14,0,1,0.230,-0.031
14,0,2,0.230,0.034
14,0,3,0.230,-0.008
14,1,0,0.230,-0.031
14,1,1,0.230,0.000
14,1,2,0.230,-0.067
14,1,3,0.230,0.035
14,2,0,0.230,0.034
14,2,1,0.230,-0.067
14,2,2,0.230,0.000
14,2,3,0.230,-0.034
14,3,0,0.230,-0.008
14,3,1,0.230,0.035
14,3,2,0.230,-0.034
14,3,3,0.230,0.000
15,0,0,0.246,0.000
15,0,1,0.246,-0.031
15,0,2,0.246,0.037
15,0,3,0.246,-0.010
15,1,0,0.246,-0.031
15,1,1,0.246,0.000
15,1,2,0.246,-0.071
15,1,3,0.246,0.038
15,2,0,0.246,0.037
15,2,1,0.246,-0.071
15,2,2,0.246,0.000
15,2,3,0.246,-0.035
15,3,0,0.246,-0.010
15,3,1,0.246,0.038
15,3,2,0.246,-0.035
15,3,3,0.246,0.000
16,0,0,0.261,0.000
16,0,1,0.261,-0.030
16,0,2,0.261,0.040
16,0,3,0.261,-0.012
16,1,0,0.261,-0.030
16,1,1,0.261,0.000
16,1,2,0.261,-0.075
16,1,3,0.261,0.041
16,2,0,0.261,0.040
16,2,1,0.261,-0.075
16,2,2,0.261,0.000
16,2,3,0.261,-0.035
16,3,0,0.261,-0.012
16,3,1,0.261,0.041
16,3,2,0.261,-0.035
16,3,3,0.261,0.000
17,0,0,0.270,0.000
17,0,1,0.270,-0.030
17,0,2,0.270,0.042
17,0,3,0.270,-0.013
17,1,0,0.270,-0.030
17,1,1,0.270,0.000
17,1,2,0.270,-0.078
17,1,3,0.270,0.043
17,2,0,0.270,0.042
17,2,1,0.270,-0.078
17,2,2,0.270,0.000
17,2,3,0.270,-0.035
17,3,0,0.270,-0.013
17,3,1,0.270,0.043
17,3,2,0.270,-0.035
17,3,3,0.270,0.000
18,0,0,0.279,0.000
18,0,1,0.279,-0.030
18,0,2,0.279,0.044
18,0,3,0.279,-0.014
18,1,0,0.279,-0.030
18,1,1,0.279,0.000
18,1,2,0.279,-0.080
18,1,3,0.279,0.045
18,2,0,0.279,0.044
18,2,1,0.279,-0.080
18,2,2,0.279,0.000
18,2,3,0.279,-0.035
18,3,0,0.279,-0.014
18,3,1,0.279,0.045
18,3,2,0.279,-0.035
18,3,3,0.279,0.000
19,0,0,0.288,0.000
19,0,1,0.288,-0.030
19,0,2,0.288,0.046
19,0,3,0.288,-0.016
19,1,0,0.288,-0.030
19,1,1,0.288,0.000
19,1,2,0.288,-0.083
19,1,3,0.288,0.047
19,2,0,0.288,0.046
19,2,1,0.288,-0.083
19,2,2,0.288,0.000
19,2,3,0.288,-0.035
19,3,0,0.288,-0.016
19,3,1,0.288,0.047
19,3,2,0.288,-0.035
19,3,3,0.288,0.000
20,0,0,0.296,0.000
20,0,1,0.296,-0.030
20,0,2,0.296,0.048
20,0,3,0.296,-0.017
20,1,0,0.296,-0.030
20,1,1,0.296,0.000
20,1,2,0.296,-0.085
20,1,3,0.296,0.049
20,2,0,0.296,0.048
20,2,1,0.296,-0.085
20,2,2,0.296,0.000
20,2,3,0.296,-0.035
20,3,0,0.296,-0.017
20,3,1,0.296,0.049
20,3,2,0.296,-0.035
20,3,3,0.296,0.000
21,0,0,0.305,0.000
21,0,1,0.305,-0.029
21,0,2,0.305,0.050
21,0,3,0.305,-0.019
21,1,0,0.305,-0.029
21,1,1,0.305,0.000
21,1,2,0.305,-0.088
21,1,3,0.305,0.051
21,2,0,0.305,0.050
21,2,1,0.305,-0.088
21,2,2,0.305,0.000
21,2,3,0.305,-0.035
21,3,0,0.305,-0.019
21,3,1,0.305,0.051
21,3,2,0.305,-0.035
21,3,3,0.305,0.000
22,0,0,0.314,0.000
22,0,1,0.314,-0.029
22,0,2,0.314,0.052
22,0,3,0.314,-0.021
22,1,0,0.314,-0.029
22,1,1,0.314,0.000
22,1,2,0.314,-0.091
22,1,3,0.314,0.052
22,2,0,0.314,0.052
22,2,1,0.314,-0.091
22,2,2,0.314,0.000
22,2,3,0.314,-0.035
22,3,0,0.314,-0.021
22,3,1,0.314,0.052
22,3,2,0.314,-0.035
22,3,3,0.314,0.000
23,0,0,0.323,0.000
23,0,1,0.323,-0.029
23,0,2,0.323,0.054
23,0,3,0.323,-0.022
23,1,0,0.323,-0.029
23,1,1,0.323,0.000
23,1,2,0.323,-0.093
23,1,3,0.323,0.054
23,2,0,0.323,0.054
23,2,1,0.323,-0.093
23,2,2,0.323,0.000
23,2,3,0.323,-0.035
23,3,0,0.323,-0.022
23,3,1,0.323,0.054
23,3,2,0.323,-0.035
23,3,3,0.323,0.000
24,0,0,0.332,0.000
24,0,1,0.332,-0.028
24,0,2,0.332,0.057
24,0,3,0.332,-0.024
24,1,0,0.332,-0.028
24,1,1,0.332,0.000
24,1,2,0.332,-0.096
24,1,3,0.332,0.056
24,2,0,0.332,0.057
24,2,1,0.332,-0.096
24,2,2,0.332,0.000
24,2,3,0.332,-0.035
24,3,0,0.332,-0.024
24,3,1,0.332,0.056
24,3,2,0.332,-0.035
24,3,3,0.332,0.000
25,0,0,0.340,0.000
25,0,1,0.340,-0.028
25,0,2,0.340,0.059
25,0,3,0.340,-0.026
25,1,0,0.340,-0.028
25,1,1,0.340,0.000
25,1,2,0.340,-0.099
25,1,3,0.340,0.058
25,2,0,0.340,0.059
25,2,1,0.340,-0.099
25,2,2,0.340,0.000
25,2,3,0.340,-0.035
25,3,0,0.340,-0.026
25,3,1,0.340,0.058
25,3,2,0.340,-0.035
25,3,3,0.340,0.000
26,0,0,0.349,0.000
26,0,1,0.349,-0.028
26,0,2,0.349,0.061
26,0,3,0.349,-0.028
26,1,0,0.349,-0.028
26,1,1,0.349,0.000
26,1,2,0.349,-0.101
26,1,3,0.349,0.060
26,2,0,0.349,0.061
26,2,1,0.349,-0.101
26,2,2,0.349,0.000
26,2,3,0.349,-0.035
26,3,0,0.349,-0.028
26,3,1,0.349,0.060
26,3,2,0.349,-0.035
26,3,3,0.349,0.000
27,0,0,0.358,0.000
27,0,1,0.358,-0.027
27,0,2,0.358,0.063
27,0,3,0.358,-0.030
27,1,0,0.358,-0.027
27,1,1,0.358,0.000
27,1,2,0.358,-0.104
27,1,3,0.358,0.062
27,2,0,0.358,0.063
27,2,1,0.358,-0.104
27,2,2,0.358,0.000
27,2,3,0.358,-0.035
27,3,0,0.358,-0.030
27,3,1,0.358,0.062
27,3,2,0.358,-0.035
27,3,3,0.358,0.000
28,0,0,0.367,0.000
28,0,1,0.367,-0.027
28,0,2,0.367,0.066
28,0,3,0.367,-0.032
28,1,0,0.367,-0.027
28,1,1,0.367,0.000
28,1,2,0.367,-0.107
28,1,3,0.367,0.063
28,2,0,0.367,0.066
28,2,1,0.367,-0.107
28,2,2,0.367,0.000
28,2,3,0.367,-0.034
28,3,0,0.367,-0.032
28,3,1,0.367,0.063
28,3,2,0.367,-0.034
28,3,3,0.367,0.000
29,0,0,0.376,0.000
29,0,1,0.376,-0.027
29,0,2,0.376,0.068
29,0,3,0.376,-0.034
29,1,0,0.376,-0.027
29,1,1,0.376,0.000
29,1,2,0.376,-0.109
29,1,3,0.376,0.065
29,2,0,0.376,0.068
29,2,1,0.376,-0.109
29,2,2,0.376,0.000
29,2,3,0.376,-0.034
29,3,0,0.376,-0.034
29,3,1,0.376,0.065
29,3,2,0.376,-0.034
29,3,3,0.376,0.000
30,0,0,0.385,0.000
30,0,1,0.385,-0.026
30,0,2,0.385,0.071
30,0,3,0.385,-0.036
30,1,0,0.385,-0.026
30,1,1,0.385,0.000
30,1,2,0.385,-0.112
30,1,3,0.385,0.067
30,2,0,0.385,0.071
30,2,1,0.385,-0.112
30,2,2,0.385,0.000
30,2,3,0.385,-0.034
30,3,0,0.385,-0.036
30,3,1,0.385,0.067
30,3,2,0.385,-0.034
30,3,3,0.385,0.000
31,0,0,0.394,0.000
31,0,1,0.394,-0.026
31,0,2,0.394,0.073
31,0,3,0.394,-0.038
31,1,0,0.394,-0.026
31,1,1,0.394,0.000
31,1,2,0.394,-0.115
31,1,3,0.394,0.069
31,2,0,0.394,0.073
31,2,1,0.394,-0.115
31,2,2,0.394,0.000
31,2,3,0.394,-0.034
31,3,0,0.394,-0.038
31,3,1,0.394,0.069
31,3,2,0.394,-0.034
31,3,3,0.394,0.000
32,0,0,0.403,0.000
32,0,1,0.403,-0.025
32,0,2,0.403,0.076
32,0,3,0.403,-0.040
32,1,0,0.403,-0.025
32,1,1,0.403,0.000
32,1,2,0.403,-0.118
32,1,3,0.403,0.071
32,2,0,0.403,0.076
32,2,1,0.403,-0.118
32,2,2,0.403,0.000
32,2,3,0.403,-0.034
32,3,0,0.403,-0.040
32,3,1,0.403,0.071
32,3,2,0.403,-0.034
32,3,3,0.403,0.000
33,0,0,0.412,0.000
33,0,1,0.412,-0.025
33,0,2,0.412,0.078
33,0,3,0.412,-0.043
33,1,0,0.412,-0.025
33,1,1,0.412,0.000
33,1,2,0.412,-0.121
33,1,3,0.412,0.072
33,2,0,0.412,0.078
33,2,1,0.412,-0.121
33,2,2,0.412,0.000
33,2,3,0.412,-0.033
33,3,0,0.412,-0.043
33,3,1,0.412,0.072
33,3,2,0.412,-0.033
33,3,3,0.412,0.000
34,0,0,0.421,0.000
34,0,1,0.421,-0.024
34,0,2,0.421,0.081
34,0,3,0.421,-0.045
34,1,0,0.421,-0.024
34,1,1,0.421,0.000
34,1,2,0.421,-0.123
34,1,3,0.421,0.074
34,2,0,0.421,0.081
34,2,1,0.421,-0.123
34,2,2,0.421,0.000
34,2,3,0.421,-0.033
34,3,0,0.421,-0.045
34,3,1,0.421,0.074
34,3,2,0.421,-0.033
34,3,3,0.421,0.000
35,0,0,0.430,0.000
35,0,1,0.430,-0.024
35,0,2,0.430,0.084
35,0,3,0.430,-0.047
35,1,0,0.430,-0.024
35,1,1,0.430,0.000
35,1,2,0.430,-0.126
35,1,3,0.430,0.076
35,2,0,0.430,0.084
35,2,1,0.430,-0.126
35,2,2,0.430,0.000
35,2,3,0.430,-0.033
35,3,0,0.430,-0.047
35,3,1,0.430,0.076
35,3,2,0.430,-0.033
35,3,3,0.430,0.000
36,0,0,0.440,0.000
36,0,1,0.440,-0.024
36,0,2,0.440,0.086
36,0,3,0.440,-0.049
36,1,0,0.440,-0.024
36,1,1,0.440,0.000
36,1,2,0.440,-0.129
36,1,3,0.440,0.077
36,2,0,0.440,0.086
36,2,1,0.440,-0.129
36,2,2,0.440,0.000
36,2,3,0.440,-0.032
36,3,0,0.440,-0.049
36,3,1,0.440,0.077
36,3,2,0.440,-0.032
36,3,3,0.440,0.000
37,0,0,0.449,0.000
37,0,1,0.449,-0.023
37,0,2,0.449,0.089
37,0,3,0.449,-0.051
37,1,0,0.449,-0.023
37,1,1,0.449,0.000
37,1,2,0.449,-0.132
37,1,3,0.449,0.079
37,2,0,0.449,0.089
37,2,1,0.449,-0.132
37,2,2,0.449,0.000
37,2,3,0.449,-0.032
37,3,0,0.449,-0.051
37,3,1,0.449,0.079
37,3,2,0.449,-0.032
37,3,3,0.449,0.000
38,0,0,0.459,0.000
38,0,1,0.459,-0.023
38,0,2,0.459,0.092
38,0,3,0.459,-0.054
38,1,0,0.459,-0.023
38,1,1,0.459,0.000
38,1,2,0.459,-0.135
38,1,3,0.459,0.080
38,2,0,0.459,0.092
38,2,1,0.459,-0.135
38,2,2,0.459,0.000
38,2,3,0.459,-0.032
38,3,0,0.459,-0.054
38,3,1,0.459,0.080
38,3,2,0.459,-0.032
38,3,3,0.459,0.000
39,0,0,0.468,0.000
39,0,1,0.468,-0.022
39,0,2,0.468,0.095
39,0,3,0.468,-0.056
39,1,0,0.468,-0.022
39,1,1,0.468,0.000
39,1,2,0.468,-0.138
39,1,3,0.468,0.081
39,2,0,0.468,0.095
39,2,1,0.468,-0.138
39,2,2,0.468,0.000
39,2,3,0.468,-0.031
39,3,0,0.468,-0.056
39,3,1,0.468,0.081
39,3,2,0.468,-0.031
39,3,3,0.468,0.000
40,0,0,0.478,0.000
40,0,1,0.478,-0.022
40,0,2,0.478,0.098
40,0,3,0.478,-0.058
40,1,0,0.478,-0.022
40,1,1,0.478,0.000
40,1,2,0.478,-0.141
40,1,3,0.478,0.083
40,2,0,0.478,0.098
40,2,1,0.478,-0.141
40,2,2,0.478,0.000
40,2,3,0.478,-0.031
40,3,0,0.478,-0.058
40,3,1,0.478,0.083
40,3,2,0.478,-0.031
40,3,3,0.478,0.000
41,0,0,0.488,0.000
41,0,1,0.488,-0.021
41,0,2,0.488,0.101
41,0,3,0.488,-0.060
41,1,0,0.488,-0.021
41,1,1,0.488,0.000
41,1,2,0.488,-0.144
41,1,3,0.488,0.084
41,2,0,0.488,0.101
41,2,1,0.488,-0.144
41,2,2,0.488,0.000
41,2,3,0.488,-0.030
41,3,0,0.488,-0.060
41,3,1,0.488,0.084
41,3,2,0.488,-0.030
41,3,3,0.488,0.000
42,0,0,0.497,0.000
42,0,1,0.497,-0.021
42,0,2,0.497,0.104
42,0,3,0.497,-0.063
42,1,0,0.497,-0.021
42,1,1,0.497,0.000
42,1,2,0.497,-0.147
42,1,3,0.497,0.085
42,2,0,0.497,0.104
42,2,1,0.497,-0.147
42,2,2,0.497,0.000
42,2,3,0.497,-0.030
42,3,0,0.497,-0.063
42,3,1,0.497,0.085
42,3,2,0.497,-0.030
42,3,3,0.497,0.000
43,0,0,0.507,0.000
43,0,1,0.507,-0.020
43,0,2,0.507,0.107
43,0,3,0.507,-0.065
43,1,0,0.507,-0.020
43,1,1,0.507,0.000
43,1,2,0.507,-0.150
43,1,3,0.507,0.086
43,2,0,0.507,0.107
43,2,1,0.507,-0.150
43,2,2,0.507,0.000
43,2,3,0.507,-0.029
43,3,0,0.507,-0.065
43,3,1,0.507,0.086
43,3,2,0.507,-0.029
43,3,3,0.507,0.000
