135,4,time,val
0,0,0.000,2.187
0,1,0.000,1.727
0,2,0.000,0.626
0,3,0.000,-0.025
1,0,0.017,2.203
1,1,0.017,1.748
1,2,0.017,0.611
1,3,0.017,-0.047
2,0,0.033,2.217
2,1,0.033,1.769
2,2,0.033,0.596
2,3,0.033,-0.068
3,0,0.050,2.232
3,1,0.050,1.789
3,2,0.050,0.583
3,3,0.050,-0.089
4,0,0.066,2.246
4,1,0.066,1.810
4,2,0.066,0.569
4,3,0.066,-0.110
5,0,0.082,2.260
5,1,0.082,1.830
5,2,0.082,0.556
5,3,0.082,-0.131
6,0,0.099,2.274
6,1,0.099,1.849
6,2,0.099,0.543
6,3,0.099,-0.152
7,0,0.115,2.287
7,1,0.115,1.869
7,2,0.115,0.531
7,3,0.115,-0.172
8,0,0.131,2.300
8,1,0.131,1.888
8,2,0.131,0.519
8,3,0.131,-0.193
9,0,0.148,2.313
9,1,0.148,1.906
9,2,0.148,0.508
9,3,0.148,-0.213
10,0,0.164,2.326
10,1,0.164,1.925
10,2,0.164,0.498
10,3,0.164,-0.233
11,0,0.181,2.338
11,1,0.181,1.942
11,2,0.181,0.488
11,3,0.181,-0.254
12,0,0.198,2.351
12,1,0.198,1.960
12,2,0.198,0.478
12,3,0.198,-0.274
13,0,0.215,2.363
13,1,0.215,1.976
13,2,0.215,0.469
13,3,0.215,-0.295
14,0,0.230,2.374
14,1,0.230,1.991
14,2,0.230,0.462
14,3,0.230,-0.313
15,0,0.246,2.385
15,1,0.246,2.005
15,2,0.246,0.455
15,3,0.246,-0.331
16,0,0.261,2.396
16,1,0.261,2.018
16,2,0.261,0.449
16,3,0.261,-0.349
17,0,0.270,2.402
17,1,0.270,2.025
17,2,0.270,0.446
17,3,0.270,-0.359
18,0,0.279,2.408
18,1,0.279,2.032
18,2,0.279,0.443
18,3,0.279,-0.369
19,0,0.288,2.414
19,1,0.288,2.039
19,2,0.288,0.440
19,3,0.288,-0.379
20,0,0.296,2.420
20,1,0.296,2.046
20,2,0.296,0.438
20,3,0.296,-0.389
21,0,0.305,2.426
21,1,0.305,2.052
21,2,0.305,0.435
21,3,0.305,-0.399
22,0,0.314,2.432
22,1,0.314,2.058
22,2,0.314,0.433
22,3,0.314,-0.409
23,0,0.323,2.438
23,1,0.323,2.064
23,2,0.323,0.431
23,3,0.323,-0.419
24,0,0.332,2.444
24,1,0.332,2.069
24,2,0.332,0.429
24,3,0.332,-0.429
25,0,0.340,2.450
25,1,0.340,2.075
25,2,0.340,0.428
25,3,0.340,-0.438
26,0,0.349,2.456
26,1,0.349,2.080
26,2,0.349,0.426
26,3,0.349,-0.448
27,0,0.358,2.462
27,1,0.358,2.085
27,2,0.358,0.425
27,3,0.358,-0.457
28,0,0.367,2.468
28,1,0.367,2.090
28,2,0.367,0.424
28,3,0.367,-0.467
29,0,0.376,2.474
29,1,0.376,2.094
29,2,0.376,0.423
29,3,0.376,-0.476
30,0,0.385,2.480
30,1,0.385,2.098
30,2,0.385,0.423
30,3,0.385,-0.486
31,0,0.394,2.485
31,1,0.394,2.102
31,2,0.394,0.422
31,3,0.394,-0.495
32,0,0.403,2.491
32,1,0.403,2.106
32,2,0.403,0.422
32,3,0.403,-0.504
33,0,0.412,2.497
33,1,0.412,2.109
33,2,0.412,0.421
33,3,0.412,-0.513
34,0,0.421,2.503
34,1,0.421,2.113
34,2,0.421,0.421
34,3,0.421,-0.523
35,0,0.430,2.509
35,1,0.430,2.116
35,2,0.430,0.422
35,3,0.430,-0.532
36,0,0.440,2.515
36,1,0.440,2.118
36,2,0.440,0.422
36,3,0.440,-0.541
37,0,0.449,2.521
37,1,0.449,2.121
37,2,0.449,0.422
37,3,0.449,-0.550
38,0,0.459,2.527
38,1,0.459,2.123
38,2,0.459,0.423
38,3,0.459,-0.559
39,0,0.468,2.533
39,1,0.468,2.126
39,2,0.468,0.424
39,3,0.468,-0.568
40,0,0.478,2.540
40,1,0.478,2.127
40,2,0.478,0.424
40,3,0.478,-0.577
41,0,0.488,2.546
41,1,0.488,2.129
41,2,0.488,0.426
41,3,0.488,-0.586
42,0,0.497,2.552
42,1,0.497,2.130
42,2,0.497,0.427
42,3,0.497,-0.595
43,0,0.507,2.559
43,1,0.507,2.132
43,2,0.507,0.428
43,3,0.507,-0.604
44,0,0.517,2.565
44,1,0.517,2.132
44,2,0.517,0.430
44,3,0.517,-0.612
45,0,0.528,2.571
45,1,0.528,2.133
45,2,0.528,0.431
45,3,0.528,-0.621
46,0,0.538,2.578
46,1,0.538,2.134
46,2,0.538,0.433
46,3,0.538,-0.630
47,0,0.549,2.585
47,1,0.549,2.134
47,2,0.549,0.435
47,3,0.549,-0.639
48,0,0.559,2.592
48,1,0.559,2.133
48,2,0.559,0.437
48,3,0.559,-0.647
49,0,0.570,2.598
49,1,0.570,2.133
49,2,0.570,0.439
49,3,0.570,-0.656
50,0,0.581,2.605
50,1,0.581,2.132
50,2,0.581,0.441
50,3,0.581,-0.664
51,0,0.592,2.613
51,1,0.592,2.131
51,2,0.592,0.444
51,3,0.592,-0.673
52,0,0.604,2.620
52,1,0.604,2.130
52,2,0.604,0.446
52,3,0.604,-0.681
53,0,0.615,2.627
53,1,0.615,2.129
53,2,0.615,0.449
53,3,0.615,-0.690
54,0,0.627,2.635
54,1,0.627,2.127
54,2,0.627,0.451
54,3,0.627,-0.698
55,0,0.639,2.643
55,1,0.639,2.124
55,2,0.639,0.454
55,3,0.639,-0.707
56,0,0.652,2.651
56,1,0.652,2.122
56,2,0.652,0.457
56,3,0.652,-0.715
57,0,0.664,2.659
57,1,0.664,2.119
57,2,0.664,0.460
57,3,0.664,-0.724
58,0,0.678,2.667
58,1,0.678,2.116
58,2,0.678,0.463
58,3,0.678,-0.732
59,0,0.691,2.676
59,1,0.691,2.112
59,2,0.691,0.467
59,3,0.691,-0.740
60,0,0.705,2.685
60,1,0.705,2.108
60,2,0.705,0.470
60,3,0.705,-0.748
61,0,0.719,2.695
61,1,0.719,2.103
61,2,0.719,0.474
61,3,0.719,-0.757
62,0,0.734,2.704
62,1,0.734,2.098
62,2,0.734,0.477
62,3,0.734,-0.765
63,0,0.744,2.711
63,1,0.744,2.094
63,2,0.744,0.480
63,3,0.744,-0.770
64,0,0.754,2.718
64,1,0.754,2.090
64,2,0.754,0.482
64,3,0.754,-0.776
65,0,0.765,2.725
65,1,0.765,2.086
65,2,0.765,0.484
65,3,0.765,-0.781
66,0,0.775,2.732
66,1,0.775,2.082
66,2,0.775,0.487
66,3,0.775,-0.786
67,0,0.796,2.746
67,1,0.796,2.073
67,2,0.796,0.492
67,3,0.796,-0.796
68,0,0.817,2.760
68,1,0.817,2.064
68,2,0.817,0.496
68,3,0.817,-0.805
69,0,0.839,2.774
69,1,0.839,2.054
69,2,0.839,0.501
69,3,0.839,-0.814
70,0,0.861,2.789
70,1,0.861,2.043
70,2,0.861,0.505
70,3,0.861,-0.823
71,0,0.883,2.804
71,1,0.883,2.032
71,2,0.883,0.509
71,3,0.883,-0.831
72,0,0.906,2.820
72,1,0.906,2.020
72,2,0.906,0.514
72,3,0.906,-0.839
73,0,0.930,2.836
73,1,0.930,2.007
73,2,0.930,0.518
73,3,0.930,-0.846
74,0,0.954,2.852
74,1,0.954,1.994
74,2,0.954,0.521
74,3,0.954,-0.853
75,0,0.979,2.869
75,1,0.979,1.980
75,2,0.979,0.525
75,3,0.979,-0.860
76,0,1.005,2.886
76,1,1.005,1.966
76,2,1.005,0.529
76,3,1.005,-0.866
77,0,1.032,2.904
77,1,1.032,1.950
77,2,1.032,0.532
77,3,1.032,-0.872
78,0,1.060,2.922
78,1,1.060,1.935
78,2,1.060,0.535
78,3,1.060,-0.877
79,0,1.090,2.940
79,1,1.090,1.918
79,2,1.090,0.538
79,3,1.090,-0.882
80,0,1.137,2.969
80,1,1.137,1.893
80,2,1.137,0.542
80,3,1.137,-0.889
81,0,1.171,2.988
81,1,1.171,1.875
81,2,1.171,0.545
81,3,1.171,-0.894
82,0,1.206,3.007
82,1,1.206,1.858
82,2,1.206,0.547
82,3,1.206,-0.897
83,0,1.240,3.025
83,1,1.240,1.842
83,2,1.240,0.549
83,3,1.240,-0.901
84,0,1.274,3.041
84,1,1.274,1.827
84,2,1.274,0.550
84,3,1.274,-0.904
85,0,1.308,3.056
85,1,1.308,1.813
85,2,1.308,0.552
85,3,1.308,-0.906
86,0,1.343,3.070
86,1,1.343,1.800
86,2,1.343,0.553
86,3,1.343,-0.908
87,0,1.378,3.083
87,1,1.378,1.787
87,2,1.378,0.554
87,3,1.378,-0.910
88,0,1.414,3.096
88,1,1.414,1.776
88,2,1.414,0.554
88,3,1.414,-0.912
89,0,1.451,3.107
89,1,1.451,1.766
89,2,1.451,0.555
89,3,1.451,-0.913
90,0,1.489,3.117
90,1,1.489,1.756
90,2,1.489,0.556
90,3,1.489,-0.914
91,0,1.530,3.127
91,1,1.530,1.747
91,2,1.530,0.556
91,3,1.530,-0.915
92,0,1.572,3.135
92,1,1.572,1.739
92,2,1.572,0.557
92,3,1.572,-0.916
93,0,1.617,3.143
93,1,1.617,1.732
93,2,1.617,0.557
93,3,1.617,-0.917
94,0,1.664,3.150
94,1,1.664,1.726
94,2,1.664,0.557
94,3,1.664,-0.918
95,0,1.716,3.156
95,1,1.716,1.720
95,2,1.716,0.557
95,3,1.716,-0.919
96,0,1.772,3.161
96,1,1.772,1.715
96,2,1.772,0.557
96,3,1.772,-0.919
97,0,1.834,3.166
97,1,1.834,1.711
97,2,1.834,0.557
97,3,1.834,-0.920
98,0,1.904,3.170
98,1,1.904,1.707
98,2,1.904,0.557
98,3,1.904,-0.920
99,0,1.983,3.173
99,1,1.983,1.705
99,2,1.983,0.557
99,3,1.983,-0.920
100,0,2.075,3.176
100,1,2.075,1.702
100,2,2.075,0.557
100,3,2.075,-0.921
101,0,2.184,3.178
101,1,2.184,1.701
101,2,2.184,0.557
101,3,2.184,-0.921
102,0,2.321,3.179
102,1,2.321,1.700
102,2,2.321,0.557
102,3,2.321,-0.921
103,0,2.499,3.180
103,1,2.499,1.699
103,2,2.499,0.557
103,3,2.499,-0.921
104,0,2.751,3.180
104,1,2.751,1.699
104,2,2.751,0.557
104,3,2.751,-0.921
105,0,3.163,3.180
105,1,3.163,1.699
105,2,3.163,0.556
105,3,3.163,-0.921
106,0,3.494,3.180
106,1,3.494,1.699
106,2,3.494,0.556
106,3,3.494,-0.921
107,0,3.659,3.180
107,1,3.659,1.699
107,2,3.659,0.556
107,3,3.659,-0.921
108,0,3.824,3.180
108,1,3.824,1.699
108,2,3.824,0.556
108,3,3.824,-0.921
109,0,4.127,3.180
109,1,4.127,1.699
109,2,4.127,0.556
109,3,4.127,-0.921
110,0,4.436,3.180
110,1,4.436,1.699
110,2,4.436,0.556
110,3,4.436,-0.921
111,0,4.600,3.180
111,1,4.600,1.699
111,2,4.600,0.556
111,3,4.600,-0.921
112,0,4.765,3.180
112,1,4.765,1.699
112,2,4.765,0.556
112,3,4.765,-0.921
113,0,5.071,3.180
113,1,5.071,1.699
113,2,5.071,0.556
113,3,5.071,-0.921
114,0,5.378,3.180
114,1,5.378,1.699
114,2,5.378,0.556
114,3,5.378,-0.921
115,0,5.542,3.180
115,1,5.542,1.699
115,2,5.542,0.556
