116,4,time,val
0,0,0,0.015,0.000
0,0,1,0.015,-0.026
0,0,2,0.015,0.001
0,0,3,0.015,0.000
0,1,0,0.015,-0.026
0,1,1,0.015,0.000
0,1,2,0.015,-0.026
0,1,3,0.015,0.001
0,2,0,0.015,0.001
0,2,1,0.015,-0.026
0,2,2,0.015,0.000
0,2,3,0.015,-0.026
0,3,0,0.015,0.000
0,3,1,0.015,0.001
0,3,2,0.015,-0.026
0,3,3,0.015,0.000
1,0,0,0.030,0.000
1,0,1,0.030,-0.026
1,0,2,0.030,0.003
1,0,3,0.030,-0.000
1,1,0,0.030,-0.026
1,1,1,0.030,0.000
1,1,2,0.030,-0.028
1,1,3,0.030,0.003
1,2,0,0.030,0.003
1,2,1,0.030,-0.028
1,2,2,0.030,0.000
1,2,3,0.030,-0.026
1,3,0,0.030,-0.000
1,3,1,0.030,0.003
1,3,2,0.030,-0.026
1,3,3,0.030,0.000
2,0,0,0.045,0.000
2,0,1,0.045,-0.027
2,0,2,0.045,0.005
2,0,3,0.045,-0.000
2,1,0,0.045,-0.027
2,1,1,0.045,0.000
2,1,2,0.045,-0.030
2,1,3,0.045,0.005
2,2,0,0.045,0.005
2,2,1,0.045,-0.030
2,2,2,0.045,0.000
2,2,3,0.045,-0.027
2,3,0,0.045,-0.000
2,3,1,0.045,0.005
2,3,2,0.045,-0.027
2,3,3,0.045,0.000
3,0,0,0.060,0.000
3,0,1,0.060,-0.028
3,0,2,0.060,0.006
3,0,3,0.060,-0.001
3,1,0,0.060,-0.028
3,1,1,0.060,0.000
3,1,2,0.060,-0.032
3,1,3,0.060,0.006
3,2,0,0.060,0.006
3,2,1,0.060,-0.032
3,2,2,0.060,0.000
3,2,3,0.060,-0.028
3,3,0,0.060,-0.001
3,3,1,0.060,0.006
3,3,2,0.060,-0.028
3,3,3,0.060,0.000
4,0,0,0.075,0.000
4,0,1,0.075,-0.028
4,0,2,0.075,0.008
4,0,3,0.075,-0.001
4,1,0,0.075,-0.028
4,1,1,0.075,0.000
4,1,2,0.075,-0.034
4,1,3,0.075,0.008
4,2,0,0.075,0.008
4,2,1,0.075,-0.034
4,2,2,0.075,0.000
4,2,3,0.075,-0.028
4,3,0,0.075,-0.001
4,3,1,0.075,0.008
4,3,2,0.075,-0.028
4,3,3,0.075,0.000
5,0,0,0.089,0.000
5,0,1,0.089,-0.029
5,0,2,0.089,0.010
5,0,3,0.089,-0.001
5,1,0,0.089,-0.029
5,1,1,0.089,0.000
5,1,2,0.089,-0.036
5,1,3,0.089,0.010
5,2,0,0.089,0.010
5,2,1,0.089,-0.036
5,2,2,0.089,0.000
5,2,3,0.089,-0.029
5,3,0,0.089,-0.001
5,3,1,0.089,0.010
5,3,2,0.089,-0.029
5,3,3,0.089,0.000
6,0,0,0.104,0.000
6,0,1,0.104,-0.029
6,0,2,0.104,0.012
6,0,3,0.104,-0.002
6,1,0,0.104,-0.029
6,1,1,0.104,0.000
6,1,2,0.104,-0.038
6,1,3,0.104,0.012
6,2,0,0.104,0.012
6,2,1,0.104,-0.038
6,2,2,0.104,0.000
6,2,3,0.104,-0.030
6,3,0,0.104,-0.002
6,3,1,0.104,0.012
6,3,2,0.104,-0.030
6,3,3,0.104,0.000
7,0,0,0.119,0.000
7,0,1,0.119,-0.030
7,0,2,0.119,0.014
7,0,3,0.119,-0.003
7,1,0,0.119,-0.030
7,1,1,0.119,0.000
7,1,2,0.119,-0.041
7,1,3,0.119,0.014
7,2,0,0.119,0.014
7,2,1,0.119,-0.041
7,2,2,0.119,0.000
7,2,3,0.119,-0.030
7,3,0,0.119,-0.003
7,3,1,0.119,0.014
7,3,2,0.119,-0.030
7,3,3,0.119,0.000
8,0,0,0.134,0.000
8,0,1,0.134,-0.030
8,0,2,0.134,0.017
8,0,3,0.134,-0.004
8,1,0,0.134,-0.030
8,1,1,0.134,0.000
8,1,2,0.134,-0.043
8,1,3,0.134,0.016
8,2,0,0.134,0.017
8,2,1,0.134,-0.043
8,2,2,0.134,0.000
8,2,3,0.134,-0.031
8,3,0,0.134,-0.004
8,3,1,0.134,0.016
8,3,2,0.134,-0.031
8,3,3,0.134,0.000
9,0,0,0.148,0.000
9,0,1,0.148,-0.031
9,0,2,0.148,0.019
9,0,3,0.148,-0.005
9,1,0,0.148,-0.031
9,1,1,0.148,0.000
9,1,2,0.148,-0.046
9,1,3,0.148,0.018
9,2,0,0.148,0.019
9,2,1,0.148,-0.046
9,2,2,0.148,0.000
9,2,3,0.148,-0.031
9,3,0,0.148,-0.005
9,3,1,0.148,0.018
9,3,2,0.148,-0.031
9,3,3,0.148,0.000
10,0,0,0.163,0.000
10,0,1,0.163,-0.031
10,0,2,0.163,0.021
10,0,3,0.163,-0.006
10,1,0,0.163,-0.031
10,1,1,0.163,0.000
10,1,2,0.163,-0.049
10,1,3,0.163,0.021
10,2,0,0.163,0.021
10,2,1,0.163,-0.049
10,2,2,0.163,0.000
10,2,3,0.163,-0.032
10,3,0,0.163,-0.006
10,3,1,0.163,0.021
10,3,2,0.163,-0.032
10,3,3,0.163,0.000
11,0,0,0.178,0.000
11,0,1,0.178,-0.031
11,0,2,0.178,0.024
11,0,3,0.178,-0.007
11,1,0,0.178,-0.031
11,1,1,0.178,0.000
11,1,2,0.178,-0.052
11,1,3,0.178,0.023
11,2,0,0.178,0.024
11,2,1,0.178,-0.052
11,2,2,0.178,0.000
11,2,3,0.178,-0.032
11,3,0,0.178,-0.007
11,3,1,0.178,0.023
11,3,2,0.178,-0.032
11,3,3,0.178,0.000
12,0,0,0.194,0.000
12,0,1,0.194,-0.031
12,0,2,0.194,0.027
12,0,3,0.194,-0.009
12,1,0,0.194,-0.031
12,1,1,0.194,0.000
12,1,2,0.194,-0.055
12,1,3,0.194,0.026
12,2,0,0.194,0.027
12,2,1,0.194,-0.055
12,2,2,0.194,0.000
12,2,3,0.194,-0.033
12,3,0,0.194,-0.009
12,3,1,0.194,0.026
12,3,2,0.194,-0.033
12,3,3,0.194,0.000
13,0,0,0.209,0.000
13,0,1,0.209,-0.031
13,0,2,0.209,0.030
13,0,3,0.209,-0.010
13,1,0,0.209,-0.031
13,1,1,0.209,0.000
13,1,2,0.209,-0.058
13,1,3,0.209,0.029
13,2,0,0.209,0.030
13,2,1,0.209,-0.058
13,2,2,0.209,0.000
13,2,3,0.209,-0.033
13,3,0,0.209,-0.010
13,3,1,0.209,0.029
13,3,2,0.209,-0.033
13,3,3,0.209,0.000
14,0,0,0.223,0.000
14,0,1,0.223,-0.032
14,0,2,0.223,0.033
14,0,3,0.223,-0.012
14,1,0,0.223,-0.032
14,1,1,0.223,0.000
14,1,2,0.223,-0.062
14,1,3,0.223,0.031
