116,4,time,val
0,0,0.015,2.201
0,1,0.015,1.746
0,2,0.015,0.612
0,3,0.015,-0.045
1,0,0.030,2.215
1,1,0.030,1.765
1,2,0.030,0.599
1,3,0.030,-0.064
2,0,0.045,2.228
2,1,0.045,1.783
2,2,0.045,0.586
2,3,0.045,-0.083
3,0,0.060,2.241
3,1,0.060,1.802
3,2,0.060,0.574
3,3,0.060,-0.102
4,0,0.075,2.253
4,1,0.075,1.820
4,2,0.075,0.562
4,3,0.075,-0.121
5,0,0.089,2.266
5,1,0.089,1.838
5,2,0.089,0.550
5,3,0.089,-0.140
6,0,0.104,2.278
6,1,0.104,1.856
6,2,0.104,0.539
6,3,0.104,-0.158
7,0,0.119,2.290
7,1,0.119,1.873
7,2,0.119,0.528
7,3,0.119,-0.177
8,0,0.134,2.302
8,1,0.134,1.890
8,2,0.134,0.518
8,3,0.134,-0.195
9,0,0.148,2.313
9,1,0.148,1.907
9,2,0.148,0.508
9,3,0.148,-0.214
10,0,0.163,2.325
10,1,0.163,1.924
10,2,0.163,0.498
10,3,0.163,-0.232
11,0,0.178,2.336
11,1,0.178,1.940
11,2,0.178,0.489
11,3,0.178,-0.251
12,0,0.194,2.347
12,1,0.194,1.956
12,2,0.194,0.480
12,3,0.194,-0.269
13,0,0.209,2.359
13,1,0.209,1.971
13,2,0.209,0.472
13,3,0.209,-0.287
14,0,0.223,2.369
14,1,0.223,1.985
14,2,0.223,0.465
14,3,0.223,-0.304
15,0,0.237,2.379
15,1,0.237,1.997
15,2,0.237,0.459
15,3,0.237,-0.320
16,0,0.251,2.389
16,1,0.251,2.010
16,2,0.251,0.453
16,3,0.251,-0.337
17,0,0.265,2.398
17,1,0.265,2.022
17,2,0.265,0.447
17,3,0.265,-0.353
18,0,0.279,2.408
18,1,0.279,2.033
18,2,0.279,0.442
18,3,0.279,-0.370
19,0,0.287,2.414
19,1,0.287,2.039
19,2,0.287,0.440
19,3,0.287,-0.378
20,0,0.295,2.419
20,1,0.295,2.045
20,2,0.295,0.438
20,3,0.295,-0.387
21,0,0.303,2.424
21,1,0.303,2.051
21,2,0.303,0.435
21,3,0.303,-0.396
22,0,0.310,2.430
22,1,0.310,2.057
22,2,0.310,0.433
22,3,0.310,-0.405
23,0,0.318,2.435
23,1,0.318,2.062
23,2,0.318,0.432
23,3,0.318,-0.414
24,0,0.326,2.440
24,1,0.326,2.067
24,2,0.326,0.430
24,3,0.326,-0.423
25,0,0.334,2.446
25,1,0.334,2.072
25,2,0.334,0.428
25,3,0.334,-0.431
26,0,0.342,2.451
26,1,0.342,2.077
26,2,0.342,0.427
26,3,0.342,-0.440
27,0,0.350,2.456
27,1,0.350,2.082
27,2,0.350,0.426
27,3,0.350,-0.449
28,0,0.358,2.461
28,1,0.358,2.086
28,2,0.358,0.424
28,3,0.358,-0.457
29,0,0.366,2.467
29,1,0.366,2.090
29,2,0.366,0.423
29,3,0.366,-0.466
30,0,0.374,2.472
30,1,0.374,2.094
30,2,0.374,0.423
30,3,0.374,-0.474
31,0,0.382,2.477
31,1,0.382,2.098
31,2,0.382,0.422
31,3,0.382,-0.483
32,0,0.390,2.483
32,1,0.390,2.102
32,2,0.390,0.421
32,3,0.390,-0.491
33,0,0.399,2.488
33,1,0.399,2.105
33,2,0.399,0.421
33,3,0.399,-0.500
34,0,0.407,2.493
34,1,0.407,2.109
34,2,0.407,0.421
34,3,0.407,-0.508
35,0,0.415,2.499
35,1,0.415,2.112
35,2,0.415,0.420
35,3,0.415,-0.516
36,0,0.423,2.504
36,1,0.423,2.115
36,2,0.423,0.420
36,3,0.423,-0.524
37,0,0.432,2.509
37,1,0.432,2.117
37,2,0.432,0.421
37,3,0.432,-0.533
38,0,0.440,2.515
38,1,0.440,2.120
38,2,0.440,0.421
38,3,0.440,-0.541
39,0,0.448,2.520
39,1,0.448,2.122
39,2,0.448,0.421
39,3,0.448,-0.549
40,0,0.457,2.526
40,1,0.457,2.124
40,2,0.457,0.422
40,3,0.457,-0.557
41,0,0.466,2.531
41,1,0.466,2.126
41,2,0.466,0.422
41,3,0.466,-0.565
42,0,0.474,2.537
42,1,0.474,2.128
42,2,0.474,0.423
42,3,0.474,-0.573
43,0,0.483,2.542
43,1,0.483,2.130
43,2,0.483,0.424
43,3,0.483,-0.581
44,0,0.492,2.548
44,1,0.492,2.131
44,2,0.492,0.425
44,3,0.492,-0.589
45,0,0.501,2.553
45,1,0.501,2.132
45,2,0.501,0.426
45,3,0.501,-0.597
46,0,0.510,2.559
46,1,0.510,2.133
46,2,0.510,0.427
46,3,0.510,-0.605
47,0,0.519,2.565
47,1,0.519,2.134
47,2,0.519,0.428
47,3,0.519,-0.613
48,0,0.528,2.571
48,1,0.528,2.135
48,2,0.528,0.430
48,3,0.528,-0.621
49,0,0.537,2.577
49,1,0.537,2.135
49,2,0.537,0.431
49,3,0.537,-0.629
50,0,0.547,2.583
50,1,0.547,2.135
50,2,0.547,0.433
50,3,0.547,-0.636
51,0,0.556,2.589
51,1,0.556,2.135
51,2,0.556,0.435
51,3,0.556,-0.644
52,0,0.566,2.595
52,1,0.566,2.135
52,2,0.566,0.437
52,3,0.566,-0.652
53,0,0.576,2.601
53,1,0.576,2.135
53,2,0.576,0.439
53,3,0.576,-0.660
54,0,0.586,2.607
54,1,0.586,2.134
54,2,0.586,0.441
54,3,0.586,-0.668
55,0,0.596,2.614
55,1,0.596,2.133
55,2,0.596,0.443
55,3,0.596,-0.675
56,0,0.606,2.621
56,1,0.606,2.132
56,2,0.606,0.445
56,3,0.606,-0.683
57,0,0.617,2.627
57,1,0.617,2.130
57,2,0.617,0.448
57,3,0.617,-0.691
58,0,0.628,2.634
58,1,0.628,2.128
58,2,0.628,0.450
58,3,0.628,-0.698
59,0,0.639,2.641
59,1,0.639,2.126
59,2,0.639,0.453
59,3,0.639,-0.706
60,0,0.650,2.648
60,1,0.650,2.124
60,2,0.650,0.455
60,3,0.650,-0.714
61,0,0.662,2.656
61,1,0.662,2.122
61,2,0.662,0.458
61,3,0.662,-0.721
62,0,0.674,2.664
62,1,0.674,2.119
62,2,0.674,0.461
62,3,0.674,-0.729
63,0,0.686,2.671
63,1,0.686,2.115
63,2,0.686,0.464
63,3,0.686,-0.736
64,0,0.698,2.679
64,1,0.698,2.112
64,2,0.698,0.467
64,3,0.698,-0.744
65,0,0.711,2.688
65,1,0.711,2.108
65,2,0.711,0.470
65,3,0.711,-0.751
66,0,0.724,2.696
66,1,0.724,2.104
66,2,0.724,0.473
66,3,0.724,-0.759
67,0,0.738,2.705
67,1,0.738,2.099
67,2,0.738,0.477
67,3,0.738,-0.766
68,0,0.752,2.715
68,1,0.752,2.094
68,2,0.752,0.480
68,3,0.752,-0.774
69,0,0.767,2.724
69,1,0.767,2.088
69,2,0.767,0.483
69,3,0.767,-0.781
70,0,0.780,2.733
70,1,0.780,2.083
70,2,0.780,0.487
70,3,0.780,-0.788
71,0,0.794,2.743
71,1,0.794,2.077
71,2,0.794,0.490
71,3,0.794,-0.794
72,0,0.809,2.752
72,1,0.809,2.070
72,2,0.809,0.493
72,3,0.809,-0.801
73,0,0.824,2.763
73,1,0.824,2.063
73,2,0.824,0.496
73,3,0.824,-0.808
74,0,0.840,2.773
74,1,0.840,2.056
74,2,0.840,0.500
74,3,0.840,-0.814
75,0,0.857,2.785
75,1,0.857,2.048
75,2,0.857,0.503
75,3,0.857,-0.821
76,0,0.875,2.796
76,1,0.875,2.039
76,2,0.875,0.506
76,3,0.875,-0.827
77,0,0.899,2.813
77,1,0.899,2.026
77,2,0.899,0.511
77,3,0.899,-0.836
78,0,0.924,2.829
78,1,0.924,2.013
78,2,0.924,0.515
78,3,0.924,-0.843
79,0,0.949,2.847
79,1,0.949,2.000
79,2,0.949,0.519
79,3,0.949,-0.851
80,0,0.975,2.864
80,1,0.975,1.985
80,2,0.975,0.523
80,3,0.975,-0.858
81,0,1.019,2.893
81,1,1.019,1.961
81,2,1.019,0.529
81,3,1.019,-0.868
82,0,1.063,2.921
82,1,1.063,1.936
82,2,1.063,0.534
82,3,1.063,-0.877
83,0,1.106,2.948
83,1,1.106,1.913
83,2,1.106,0.539
83,3,1.106,-0.885
84,0,1.148,2.973
84,1,1.148,1.890
84,2,1.148,0.542
84,3,1.148,-0.891
85,0,1.179,2.991
85,1,1.179,1.874
85,2,1.179,0.544
85,3,1.179,-0.894
86,0,1.210,3.007
86,1,1.210,1.859
86,2,1.210,0.546
86,3,1.210,-0.898
87,0,1.241,3.023
87,1,1.241,1.844
87,2,1.241,0.548
87,3,1.241,-0.901
88,0,1.272,3.038
88,1,1.272,1.830
88,2,1.272,0.549
88,3,1.272,-0.903
89,0,1.303,3.052
89,1,1.303,1.817
89,2,1.303,0.550
89,3,1.303,-0.905
90,0,1.334,3.065
90,1,1.334,1.805
90,2,1.334,0.551
90,3,1.334,-0.907
91,0,1.366,3.077
91,1,1.366,1.794
91,2,1.366,0.552
91,3,1.366,-0.909
92,0,1.398,3.089
92,1,1.398,1.783
92,2,1.398,0.553
92,3,1.398,-0.911
93,0,1.431,3.100
93,1,1.431,1.773
93,2,1.431,0.554
93,3,1.431,-0.912
94,0,1.465,3.109
94,1,1.465,1.764
94,2,1.465,0.554
94,3,1.465,-0.913
95,0,1.501,3.119
95,1,1.501,1.755
95,2,1.501,0.555
95,3,1.501,-0.914
96,0,1.538,3.127
96,1,1.538,1.747
96,2,1.538,0.555
96,3,1.538,-0.915
97,0,1.576,3.135
97,1,1.576,1.740
97,2,1.576,0.556
97,3,1.576,-0.916
98,0,1.617,3.142
98,1,1.617,1.734
98,2,1.617,0.556
98,3,1.617,-0.917
99,0,1.660,3.148
99,1,1.660,1.728
99,2,1.660,0.556
99,3,1.660,-0.918
100,0,1.706,3.154
100,1,1.706,1.722
100,2,1.706,0.556
100,3,1.706,-0.918
101,0,1.756,3.159
101,1,1.756,1.718
101,2,1.756,0.556
101,3,1.756,-0.919
102,0,1.811,3.164
102,1,1.811,1.714
102,2,1.811,0.557
102,3,1.811,-0.919
103,0,1.871,3.168
103,1,1.871,1.710
103,2,1.871,0.557
103,3,1.871,-0.920
104,0,1.938,3.171
104,1,1.938,1.707
104,2,1.938,0.557
104,3,1.938,-0.920
105,0,2.014,3.174
105,1,2.014,1.705
105,2,2.014,0.556
105,3,2.014,-0.920
106,0,2.103,3.176
106,1,2.103,1.703
106,2,2.103,0.556
106,3,2.103,-0.920
107,0,2.208,3.178
107,1,2.208,1.701
107,2,2.208,0.556
107,3,2.208,-0.921
108,0,2.337,3.179
108,1,2.337,1.700
108,2,2.337,0.556
108,3,2.337,-0.921
109,0,2.503,3.179
109,1,2.503,1.700
109,2,2.503,0.556
109,3,2.503,-0.921
110,0,2.734,3.180
110,1,2.734,1.700
110,2,2.734,0.556
110,3,2.734,-0.921
111,0,3.095,3.180
111,1,3.095,1.700
111,2,3.095,0.556
111,3,3.095,-0.921
112,0,3.538,3.180
112,1,3.538,1.700
112,2,3.538,0.556
112,3,3.538,-0.921
113,0,4.409,3.180
113,1,4.409,1.700
113,2,4.409,0.556
113,3,4.409,-0.921
114,0,6.532,3.180
114,1,6.532,1.700
114,2,6.532,0.556
114,3,6.532,-0.921
115,0,15.000,3.180
115,1,15.000,1.700
115,2,15.000,0.556
115,3,15.000,-0.921
