121,4,time,val
0,0,0,0.000,0.000
0,0,1,0.000,-0.025
0,0,2,0.000,0.000
0,0,3,0.000,0.000
0,1,0,0.000,-0.025
0,1,1,0.000,0.000
0,1,2,0.000,-0.025
0,1,3,0.000,0.000
0,2,0,0.000,0.000
0,2,1,0.000,-0.025
0,2,2,0.000,0.000
0,2,3,0.000,-0.025
0,3,0,0.000,0.000
0,3,1,0.000,0.000
0,3,2,0.000,-0.025
0,3,3,0.000,0.000
1,0,0,0.050,0.000
1,0,1,0.050,-0.028
1,0,2,0.050,0.005
1,0,3,0.050,0.000
1,1,0,0.050,-0.028
1,1,1,0.050,0.000
1,1,2,0.050,-0.030
1,1,3,0.050,0.005
1,2,0,0.050,0.005
1,2,1,0.050,-0.030
1,2,2,0.050,0.000
1,2,3,0.050,-0.028
1,3,0,0.050,0.000
1,3,1,0.050,0.005
1,3,2,0.050,-0.028
1,3,3,0.050,0.000
2,0,0,0.100,0.000
2,0,1,0.100,-0.030
2,0,2,0.100,0.011
2,0,3,0.100,-0.001
2,1,0,0.100,-0.030
2,1,1,0.100,0.000
2,1,2,0.100,-0.036
2,1,3,0.100,0.011
2,2,0,0.100,0.011
2,2,1,0.100,-0.036
2,2,2,0.100,0.000
2,2,3,0.100,-0.030
2,3,0,0.100,-0.001
2,3,1,0.100,0.011
2,3,2,0.100,-0.030
2,3,3,0.100,0.000
3,0,0,0.150,0.000
3,0,1,0.150,-0.031
3,0,2,0.150,0.018
3,0,3,0.150,-0.003
3,1,0,0.150,-0.031
3,1,1,0.150,0.000
3,1,2,0.150,-0.044
3,1,3,0.150,0.018
3,2,0,0.150,0.018
3,2,1,0.150,-0.044
3,2,2,0.150,0.000
3,2,3,0.150,-0.032
3,3,0,0.150,-0.003
3,3,1,0.150,0.018
3,3,2,0.150,-0.032
3,3,3,0.150,0.000
4,0,0,0.200,0.000
4,0,1,0.200,-0.033
4,0,2,0.200,0.026
4,0,3,0.200,-0.007
4,1,0,0.200,-0.033
4,1,1,0.200,0.000
4,1,2,0.200,-0.054
4,1,3,0.200,0.026
4,2,0,0.200,0.026
4,2,1,0.200,-0.054
4,2,2,0.200,0.000
4,2,3,0.200,-0.034
4,3,0,0.200,-0.007
4,3,1,0.200,0.026
4,3,2,0.200,-0.034
4,3,3,0.200,0.000
5,0,0,0.250,0.000
5,0,1,0.250,-0.033
5,0,2,0.250,0.036
5,0,3,0.250,-0.012
5,1,0,0.250,-0.033
5,1,1,0.250,0.000
5,1,2,0.250,-0.065
5,1,3,0.250,0.034
5,2,0,0.250,0.036
5,2,1,0.250,-0.065
5,2,2,0.250,0.000
5,2,3,0.250,-0.035
5,3,0,0.250,-0.012
5,3,1,0.250,0.034
5,3,2,0.250,-0.035
5,3,3,0.250,0.000
6,0,0,0.300,0.000
6,0,1,0.300,-0.033
6,0,2,0.300,0.046
6,0,3,0.300,-0.018
6,1,0,0.300,-0.033
6,1,1,0.300,0.000
6,1,2,0.300,-0.077
6,1,3,0.300,0.044
6,2,0,0.300,0.046
6,2,1,0.300,-0.077
6,2,2,0.300,0.000
6,2,3,0.300,-0.036
6,3,0,0.300,-0.018
6,3,1,0.300,0.044
6,3,2,0.300,-0.036
6,3,3,0.300,0.000
7,0,0,0.350,0.000
7,0,1,0.350,-0.033
7,0,2,0.350,0.058
7,0,3,0.350,-0.026
7,1,0,0.350,-0.033
7,1,1,0.350,0.000
7,1,2,0.350,-0.091
7,1,3,0.350,0.054
7,2,0,0.350,0.058
7,2,1,0.350,-0.091
7,2,2,0.350,0.000
7,2,3,0.350,-0.037
7,3,0,0.350,-0.026
7,3,1,0.350,0.054
7,3,2,0.350,-0.037
7,3,3,0.350,0.000
8,0,0,0.400,0.000
8,0,1,0.400,-0.032
8,0,2,0.400,0.071
8,0,3,0.400,-0.036
8,1,0,0.400,-0.032
8,1,1,0.400,0.000
8,1,2,0.400,-0.105
8,1,3,0.400,0.064
8,2,0,0.400,0.071
8,2,1,0.400,-0.105
8,2,2,0.400,0.000
8,2,3,0.400,-0.038
8,3,0,0.400,-0.036
8,3,1,0.400,0.064
8,3,2,0.400,-0.038
8,3,3,0.400,0.000
9,0,0,0.450,0.000
9,0,1,0.450,-0.030
9,0,2,0.450,0.085
9,0,3,0.450,-0.046
9,1,0,0.450,-0.030
9,1,1,0.450,0.000
9,1,2,0.450,-0.119
9,1,3,0.450,0.073
9,2,0,0.450,0.085
9,2,1,0.450,-0.119
9,2,2,0.450,0.000
9,2,3,0.450,-0.038
9,3,0,0.450,-0.046
9,3,1,0.450,0.073
9,3,2,0.450,-0.038
9,3,3,0.450,0.000
10,0,0,0.500,0.000
10,0,1,0.500,-0.028
10,0,2,0.500,0.099
10,0,3,0.500,-0.057
10,1,0,0.500,-0.028
10,1,1,0.500,0.000
10,1,2,0.500,-0.134
10,1,3,0.500,0.082
10,2,0,0.500,0.099
10,2,1,0.500,-0.134
10,2,2,0.500,0.000
10,2,3,0.500,-0.037
10,3,0,0.500,-0.057
10,3,1,0.500,0.082
10,3,2,0.500,-0.037
10,3,3,0.500,0.000
11,0,0,0.550,0.000
11,0,1,0.550,-0.027
11,0,2,0.550,0.114
11,0,3,0.550,-0.068
11,1,0,0.550,-0.027
11,1,1,0.550,0.000
11,1,2,0.550,-0.148
11,1,3,0.550,0.090
11,2,0,0.550,0.114
11,2,1,0.550,-0.148
11,2,2,0.550,0.000
11,2,3,0.550,-0.037
11,3,0,0.550,-0.068
11,3,1,0.550,0.090
11,3,2,0.550,-0.037
11,3,3,0.550,0.000
12,0,0,0.600,0.000
12,0,1,0.600,-0.025
12,0,2,0.600,0.129
12,0,3,0.600,-0.077
12,1,0,0.600,-0.025
12,1,1,0.600,0.000
12,1,2,0.600,-0.162
12,1,3,0.600,0.096
12,2,0,0.600,0.129
12,2,1,0.600,-0.162
12,2,2,0.600,0.000
12,2,3,0.600,-0.036
12,3,0,0.600,-0.077
12,3,1,0.600,0.096
12,3,2,0.600,-0.036
12,3,3,0.600,0.000
13,0,0,0.650,0.000
13,0,1,0.650,-0.023
13,0,2,0.650,0.144
13,0,3,0.650,-0.086
13,1,0,0.650,-0.023
13,1,1,0.650,0.000
13,1,2,0.650,-0.176
13,1,3,0.650,0.101
13,2,0,0.650,0.144
13,2,1,0.650,-0.176
13,2,2,0.650,0.000
13,2,3,0.650,-0.035
13,3,0,0.650,-0.086
13,3,1,0.650,0.101
13,3,2,0.650,-0.035
13,3,3,0.650,0.000
14,0,0,0.700,0.000
14,0,1,0.700,-0.022
14,0,2,0.700,0.159
14,0,3,0.700,-0.092
14,1,0,0.700,-0.022
14,1,1,0.700,0.000
14,1,2,0.700,-0.189
14,1,3,0.700,0.103
14,2,0,0.700,0.159
14,2,1,0.700,-0.189
14,2,2,0.700,0.000
14,2,3,0.700,-0.034
14,3,0,0.700,-0.092
14,3,1,0.700,0.103
14,3,2,0.700,-0.034
14,3,3,0.700,0.000
15,0,0,0.750,0.000
15,0,1,0.750,-0.021
15,0,2,0.750,0.173
15,0,3,0.750,-0.097
15,1,0,0.750,-0.021
15,1,1,0.750,0.000
15,1,2,0.750,-0.202
15,1,3,0.750,0.104
15,2,0,0.750,0.173
15,2,1,0.750,-0.202
15,2,2,0.750,0.000
15,2,3,0.750,-0.032
15,3,0,0.750,-0.097
15,3,1,0.750,0.104
15,3,2,0.750,-0.032
15,3,3,0.750,0.000
16,0,0,0.800,0.000
16,0,1,0.800,-0.020
16,0,2,0.800,0.188
16,0,3,0.800,-0.099
16,1,0,0.800,-0.020
16,1,1,0.800,0.000
16,1,2,0.800,-0.215
16,1,3,0.800,0.103
16,2,0,0.800,0.188
16,2,1,0.800,-0.215
16,2,2,0.800,0.000
16,2,3,0.800,-0.031
16,3,0,0.800,-0.099
16,3,1,0.800,0.103
16,3,2,0.800,-0.031
16,3,3,0.800,0.000
17,0,0,0.850,0.000
17,0,1,0.850,-0.019
17,0,2,0.850,0.202
17,0,3,0.850,-0.099
17,1,0,0.850,-0.019
17,1,1,0.850,0.000
17,1,2,0.850,-0.229
17,1,3,0.850,0.100
17,2,0,0.850,0.202
17,2,1,0.850,-0.229
17,2,2,0.850,0.000
17,2,3,0.850,-0.030
17,3,0,0.850,-0.099
17,3,1,0.850,0.100
17,3,2,0.850,-0.030
17,3,3,0.850,0.000
18,0,0,0.900,0.000
18,0,1,0.900,-0.019
18,0,2,0.900,0.216
18,0,3,0.900,-0.098
18,1,0,0.900,-0.019
18,1,1,0.900,0.000
18,1,2,0.900,-0.243
18,1,3,0.900,0.096
18,2,0,0.900,0.216
18,2,1,0.900,-0.243
18,2,2,0.900,0.000
18,2,3,0.900,-0.028
18,3,0,0.900,-0.098
18,3,1,0.900,0.096
18,3,2,0.900,-0.028
18,3,3,0.900,0.000
19,0,0,0.950,0.000
19,0,1,0.950,-0.018
19,0,2,0.950,0.230
19,0,3,0.950,-0.094
19,1,0,0.950,-0.018
19,1,1,0.950,0.000
19,1,2,0.950,-0.257
19,1,3,0.950,0.091
19,2,0,0.950,0.230
19,2,1,0.950,-0.257
19,2,2,0.950,0.000
19,2,3,0.950,-0.027
19,3,0,0.950,-0.094
19,3,1,0.950,0.091
19,3,2,0.950,-0.027
19,3,3,0.950,0.000
20,0,0,1.000,0.000
20,0,1,1.000,-0.018
20,0,2,1.000,0.244
20,0,3,1.000,-0.090
20,1,0,1.000,-0.018
20,1,1,1.000,0.000
20,1,2,1.000,-0.271
20,1,3,1.000,0.085
20,2,0,1.000,0.244
20,2,1,1.000,-0.271
20,2,2,1.000,0.000
20,2,3,1.000,-0.025
20,3,0,1.000,-0.090
20,3,1,1.000,0.085
20,3,2,1.000,-0.025
20,3,3,1.000,0.000
21,0,0,1.050,0.000
21,0,1,1.050,-0.018
21,0,2,1.050,0.258
21,0,3,1.050,-0.084
21,1,0,1.050,-0.018
21,1,1,1.050,0.000
21,1,2,1.050,-0.285
21,1,3,1.050,0.078
21,2,0,1.050,0.258
21,2,1,1.050,-0.285
21,2,2,1.050,0.000
21,2,3,1.050,-0.024
21,3,0,1.050,-0.084
21,3,1,1.050,0.078
21,3,2,1.050,-0.024
21,3,3,1.050,0.000
22,0,0,1.100,0.000
22,0,1,1.100,-0.018
22,0,2,1.100,0.271
22,0,3,1.100,-0.078
22,1,0,1.100,-0.018
22,1,1,1.100,0.000
22,1,2,1.100,-0.298
22,1,3,1.100,0.071
22,2,0,1.100,0.271
22,2,1,1.100,-0.298
22,2,2,1.100,0.000
22,2,3,1.100,-0.023
22,3,0,1.100,-0.078
22,3,1,1.100,0.071
22,3,2,1.100,-0.023
22,3,3,1.100,0.000
23,0,0,1.150,0.000
23,0,1,1.150,-0.018
23,0,2,1.150,0.283
23,0,3,1.150,-0.071
23,1,0,1.150,-0.018
23,1,1,1.150,0.000
23,1,2,1.150,-0.311
23,1,3,1.150,0.064
23,2,0,1.150,0.283
23,2,1,1.150,-0.311
23,2,2,1.150,0.000
23,2,3,1.150,-0.022
23,3,0,1.150,-0.071
23,3,1,1.150,0.064
23,3,2,1.150,-0.022
23,3,3,1.150,0.000
24,0,0,1.200,0.000
24,0,1,1.200,-0.017
24,0,2,1.200,0.294
24,0,3,1.200,-0.064
24,1,0,1.200,-0.017
24,1,1,1.200,0.000
24,1,2,1.200,-0.323
24,1,3,1.200,0.056
24,2,0,1.200,0.294
24,2,1,1.200,-0.323
24,2,2,1.200,0.000
24,2,3,1.200,-0.021
24,3,0,1.200,-0.064
24,3,1,1.200,0.056
24,3,2,1.200,-0.021
24,3,3,1.200,0.000
25,0,0,1.250,0.000
25,0,1,1.250,-0.017
25,0,2,1.250,0.305
25,0,3,1.250,-0.057
25,1,0,1.250,-0.017
25,1,1,1.250,0.000
25,1,2,1.250,-0.334
25,1,3,1.250,0.048
25,2,0,1.250,0.305
25,2,1,1.250,-0.334
25,2,2,1.250,0.000
25,2,3,1.250,-0.020
25,3,0,1.250,-0.057
25,3,1,1.250,0.048
25,3,2,1.250,-0.020
25,3,3,1.250,0.000
26,0,0,1.300,0.000
26,0,1,1.300,-0.017
26,0,2,1.300,0.315
26,0,3,1.300,-0.050
26,1,0,1.300,-0.017
26,1,1,1.300,0.000
26,1,2,1.300,-0.344
26,1,3,1.300,0.041
26,2,0,1.300,0.315
26,2,1,1.300,-0.344
26,2,2,1.300,0.000
26,2,3,1.300,-0.019
26,3,0,1.300,-0.050
26,3,1,1.300,0.041
26,3,2,1.300,-0.019
26,3,3,1.300,0.000
27,0,0,1.350,0.000
27,0,1,1.350,-0.017
27,0,2,1.350,0.323
27,0,3,1.350,-0.044
27,1,0,1.350,-0.017
27,1,1,1.350,0.000
27,1,2,1.350,-0.353
27,1,3,1.350,0.034
27,2,0,1.350,0.323
27,2,1,1.350,-0.353
27,2,2,1.350,0.000
27,2,3,1.350,-0.018
27,3,0,1.350,-0.044
27,3,1,1.350,0.034
27,3,2,1.350,-0.018
27,3,3,1.350,0.000
28,0,0,1.400,0.000
28,0,1,1.400,-0.017
28,0,2,1.400,0.331
28,0,3,1.400,-0.039
28,1,0,1.400,-0.017
28,1,1,1.400,0.000
28,1,2,1.400,-0.361
28,1,3,1.400,0.028
28,2,0,1.400,0.331
28,2,1,1.400,-0.361
28,2,2,1.400,0.000
28,2,3,1.400,-0.018
28,3,0,1.400,-0.039
28,3,1,1.400,0.028
28,3,2,1.400,-0.018
28,3,3,1.400,0.000
29,0,0,1.450,0.000
29,0,1,1.450,-0.017
29,0,2,1.450,0.338
29,0,3,1.450,-0.034
29,1,0,1.450,-0.017
29,1,1,1.450,0.000
29,1,2,1.450,-0.367
29,1,3,1.450,0.023
29,2,0,1.450,0.338
29,2,1,1.450,-0.367
29,2,2,1.450,0.000
29,2,3,1.450,-0.017
29,3,0,1.450,-0.034
29,3,1,1.450,0.023
29,3,2,1.450,-0.017
29,3,3,1.450,0.000
30,0,0,1.500,0.000
30,0,1,1.500,-0.017
30,0,2,1.500,0.343
30,0,3,1.500,-0.029
30,1,0,1.500,-0.017
30,1,1,1.500,0.000
30,1,2,1.500,-0.373
30,1,3,1.500,0.018
30,2,0,1.500,0.343
30,2,1,1.500,-0.373
30,2,2,1.500,0.000
30,2,3,1.500,-0.016
30,3,0,1.500,-0.029
30,3,1,1.500,0.018
30,3,2,1.500,-0.016
30,3,3,1.500,0.000
31,0,0,1.550,0.000
31,0,1,1.550,-0.017
31,0,2,1.550,0.348
31,0,3,1.550,-0.026
31,1,0,1.550,-0.017
31,1,1,1.550,0.000
31,1,2,1.550,-0.378
31,1,3,1.550,0.014
31,2,0,1.550,0.348
31,2,1,1.550,-0.378
31,2,2,1.550,0.000
31,2,3,1.550,-0.016
31,3,0,1.550,-0.026
31,3,1,1.550,0.014
31,3,2,1.550,-0.016
31,3,3,1.550,0.000
32,0,0,1.600,0.000
32,0,1,1.600,-0.017
32,0,2,1.600,0.352
32,0,3,1.600,-0.022
32,1,0,1.600,-0.017
32,1,1,1.600,0.000
32,1,2,1.600,-0.382
32,1,3,1.600,0.010
32,2,0,1.600,0.352
32,2,1,1.600,-0.382
32,2,2,1.600,0.000
32,2,3,1.600,-0.015
32,3,0,1.600,-0.022
32,3,1,1.600,0.010
32,3,2,1.600,-0.015
32,3,3,1.600,0.000
33,0,0,1.650,0.000
33,0,1,1.650,-0.017
33,0,2,1.650,0.355
33,0,3,1.650,-0.020
33,1,0,1.650,-0.017
33,1,1,1.650,0.000
33,1,2,1.650,-0.385
33,1,3,1.650,0.007
33,2,0,1.650,0.355
33,2,1,1.650,-0.385
33,2,2,1.650,0.000
33,2,3,1.650,-0.015
33,3,0,1.650,-0.020
33,3,1,1.650,0.007
33,3,2,1.650,-0.015
33,3,3,1.650,0.000
34,0,0,1.700,0.000
34,0,1,1.700,-0.018
34,0,2,1.700,0.358
34,0,3,1.700,-0.017
34,1,0,1.700,-0.018
34,1,1,1.700,0.000
34,1,2,1.700,-0.388
34,1,3,1.700,0.004
34,2,0,1.700,0.358
34,2,1,1.700,-0.388
34,2,2,1.700,0.000
34,2,3,1.700,-0.015
34,3,0,1.700,-0.017
34,3,1,1.700,0.004
34,3,2,1.700,-0.015
34,3,3,1.700,0.000
35,0,0,1.750,0.000
35,0,1,1.750,-0.018
35,0,2,1.750,0.360
35,0,3,1.750,-0.016
35,1,0,1.750,-0.018
35,1,1,1.750,0.000
35,1,2,1.750,-0.390
35,1,3,1.750,0.002
35,2,0,1.750,0.360
35,2,1,1.750,-0.390
35,2,2,1.750,0.000
35,2,3,1.750,-0.014
35,3,0,1.750,-0.016
35,3,1,1.750,0.002
35,3,2,1.750,-0.014
35,3,3,1.750,0.000
36,0,0,1.800,0.000
36,0,1,1.800,-0.018
36,0,2,1.800,0.362
36,0,3,1.800,-0.014
36,1,0,1.800,-0.018
36,1,1,1.800,0.000
36,1,2,1.800,-0.392
36,1,3,1.800,0.001
36,2,0,1.800,0.362
36,2,1,1.800,-0.392
36,2,2,1.800,0.000
36,2,3,1.800,-0.014
36,3,0,1.800,-0.014
36,3,1,1.800,0.001
36,3,2,1.800,-0.014
36,3,3,1.800,0.000
37,0,0,1.850,0.000
37,0,1,1.850,-0.018
37,0,2,1.850,0.363
37,0,3,1.850,-0.013
37,1,0,1.850,-0.018
37,1,1,1.850,0.000
37,1,2,1.850,-0.393
37,1,3,1.850,-0.001
37,2,0,1.850,0.363
37,2,1,1.850,-0.393
37,2,2,1.850,0.000
37,2,3,1.850,-0.014
37,3,0,1.850,-0.013
37,3,1,1.850,-0.001
37,3,2,1.850,-0.014
37,3,3,1.850,0.000
38,0,0,1.900,0.000
38,0,1,1.900,-0.018
38,0,2,1.900,0.364
38,0,3,1.900,-0.012
38,1,0,1.900,-0.018
38,1,1,1.900,0.000
38,1,2,1.900,-0.394
38,1,3,1.900,-0.002
38,2,0,1.900,0.364
38,2,1,1.900,-0.394
38,2,2,1.900,0.000
38,2,3,1.900,-0.014
38,3,0,1.900,-0.012
38,3,1,1.900,-0.002
38,3,2,1.900,-0.014
38,3,3,1.900,0.000
39,0,0,1.950,0.000
39,0,1,1.950,-0.018
39,0,2,1.950,0.365
39,0,3,1.950,-0.011
39,1,0,1.950,-0.018
39,1,1,1.950,0.000
39,1,2,1.950,-0.395
39,1,3,1.950,-0.003
39,2,0,1.950,0.365
39,2,1,1.950,-0.395
39,2,2,1.950,0.000
39,2,3,1.950,-0.013
39,3,0,1.950,-0.011
39,3,1,1.950,-0.003
39,3,2,1.950,-0.013
39,3,3,1.950,0.000
40,0,0,2.000,0.000
40,0,1,2.000,-0.018
40,0,2,2.000,0.366
40,0,3,2.000,-0.011
40,1,0,2.000,-0.018
40,1,1,2.000,0.000
40,1,2,2.000,-0.396
40,1,3,2.000,-0.004
40,2,0,2.000,0.366
40,2,1,2.000,-0.396
40,2,2,2.000,0.000
40,2,3,2.000,-0.013
40,3,0,2.000,-0.011
40,3,1,2.000,-0.004
40,3,2,2.000,-0.013
40,3,3,2.000,0.000
41,0,0,2.050,0.000
41,0,1,2.050,-0.018
41,0,2,2.050,0.366
41,0,3,2.050,-0.010
41,1,0,2.050,-0.018
41,1,1,2.050,0.000
41,1,2,2.050,-0.396
41,1,3,2.050,-0.004
41,2,0,2.050,0.366
41,2,1,2.050,-0.396
41,2,2,2.050,0.000
41,2,3,2.050,-0.013
41,3,0,2.050,-0.010
41,3,1,2.050,-0.004
41,3,2,2.050,-0.013
41,3,3,2.050,0.000
42,0,0,2.100,0.000
42,0,1,2.100,-0.018
42,0,2,2.100,0.367
42,0,3,2.100,-0.010
42,1,0,2.100,-0.018
42,1,1,2.100,0.000
42,1,2,2.100,-0.397
42,1,3,2.100,-0.005
42,2,0,2.100,0.367
42,2,1,2.100,-0.397
42,2,2,2.100,0.000
42,2,3,2.100,-0.013
42,3,0,2.100,-0.010
42,3,1,2.100,-0.005
42,3,2,2.100,-0.013
42,3,3,2.100,0.000
43,0,0,2.150,0.000
43,0,1,2.150,-0.018
43,0,2,2.150,0.367
43,0,3,2.150,-0.010
43,1,0,2.150,-0.018
43,1,1,2.150,0.000
43,1,2,2.150,-0.397
43,1,3,2.150,-0.005
43,2,0,2.150,0.367
43,2,1,2.150,-0.397
43,2,2,2.150,0.000
43,2,3,2.150,-0.013
43,3,0,2.150,-0.010
43,3,1,2.150,-0.005
