121,4,time,val
0,0,0.000,2.187
0,1,0.000,1.727
0,2,0.000,0.626
0,3,0.000,-0.025
1,0,0.050,2.233
1,1,0.050,1.791
1,2,0.050,0.581
1,3,0.050,-0.090
2,0,0.100,2.277
2,1,0.100,1.854
2,2,0.100,0.538
2,3,0.100,-0.154
3,0,0.150,2.318
3,1,0.150,1.916
3,2,0.150,0.499
3,3,0.150,-0.218
4,0,0.200,2.356
4,1,0.200,1.973
4,2,0.200,0.465
4,3,0.200,-0.280
5,0,0.250,2.392
5,1,0.250,2.026
5,2,0.250,0.437
5,3,0.250,-0.340
6,0,0.300,2.427
6,1,0.300,2.071
6,2,0.300,0.415
6,3,0.300,-0.399
7,0,0.350,2.461
7,1,0.350,2.110
7,2,0.350,0.400
7,3,0.350,-0.456
8,0,0.400,2.493
8,1,0.400,2.140
8,2,0.400,0.391
8,3,0.400,-0.510
9,0,0.450,2.524
9,1,0.450,2.163
9,2,0.450,0.388
9,3,0.450,-0.561
10,0,0.500,2.555
10,1,0.500,2.178
10,2,0.500,0.390
10,3,0.500,-0.609
11,0,0.550,2.585
11,1,0.550,2.186
11,2,0.550,0.397
11,3,0.550,-0.654
12,0,0.600,2.614
12,1,0.600,2.188
12,2,0.600,0.407
12,3,0.600,-0.695
13,0,0.650,2.644
13,1,0.650,2.184
13,2,0.650,0.419
13,3,0.650,-0.732
14,0,0.700,2.673
14,1,0.700,2.175
14,2,0.700,0.433
14,3,0.700,-0.766
15,0,0.750,2.702
15,1,0.750,2.161
15,2,0.750,0.447
15,3,0.750,-0.796
16,0,0.800,2.732
16,1,0.800,2.144
16,2,0.800,0.461
16,3,0.800,-0.822
17,0,0.850,2.763
17,1,0.850,2.123
17,2,0.850,0.474
17,3,0.850,-0.846
18,0,0.900,2.794
18,1,0.900,2.100
18,2,0.900,0.486
18,3,0.900,-0.865
19,0,0.950,2.826
19,1,0.950,2.074
19,2,0.950,0.497
19,3,0.950,-0.882
20,0,1.000,2.859
20,1,1.000,2.046
20,2,1.000,0.506
20,3,1.000,-0.896
21,0,1.050,2.891
21,1,1.050,2.017
21,2,1.050,0.514
21,3,1.050,-0.908
22,0,1.100,2.924
22,1,1.100,1.988
22,2,1.100,0.521
22,3,1.100,-0.918
23,0,1.150,2.956
23,1,1.150,1.958
23,2,1.150,0.526
23,3,1.150,-0.926
24,0,1.200,2.987
24,1,1.200,1.929
24,2,1.200,0.531
24,3,1.200,-0.932
25,0,1.250,3.017
25,1,1.250,1.901
25,2,1.250,0.534
25,3,1.250,-0.937
26,0,1.300,3.045
26,1,1.300,1.874
26,2,1.300,0.537
26,3,1.300,-0.941
27,0,1.350,3.070
27,1,1.350,1.850
27,2,1.350,0.539
27,3,1.350,-0.945
28,0,1.400,3.093
28,1,1.400,1.827
28,2,1.400,0.541
28,3,1.400,-0.947
29,0,1.450,3.114
29,1,1.450,1.807
29,2,1.450,0.543
29,3,1.450,-0.949
30,0,1.500,3.132
30,1,1.500,1.790
30,2,1.500,0.544
30,3,1.500,-0.951
31,0,1.550,3.147
31,1,1.550,1.775
31,2,1.550,0.544
31,3,1.550,-0.952
32,0,1.600,3.161
32,1,1.600,1.762
32,2,1.600,0.545
32,3,1.600,-0.953
33,0,1.650,3.171
33,1,1.650,1.752
33,2,1.650,0.545
33,3,1.650,-0.954
34,0,1.700,3.181
34,1,1.700,1.743
34,2,1.700,0.546
34,3,1.700,-0.955
35,0,1.750,3.188
35,1,1.750,1.736
35,2,1.750,0.546
35,3,1.750,-0.955
36,0,1.800,3.194
36,1,1.800,1.730
36,2,1.800,0.546
36,3,1.800,-0.956
37,0,1.850,3.199
37,1,1.850,1.725
37,2,1.850,0.546
37,3,1.850,-0.956
38,0,1.900,3.203
38,1,1.900,1.722
38,2,1.900,0.546
38,3,1.900,-0.956
39,0,1.950,3.206
39,1,1.950,1.719
39,2,1.950,0.547
39,3,1.950,-0.957
40,0,2.000,3.208
40,1,2.000,1.716
40,2,2.000,0.547
40,3,2.000,-0.957
41,0,2.050,3.210
41,1,2.050,1.715
41,2,2.050,0.547
41,3,2.050,-0.957
42,0,2.100,3.212
42,1,2.100,1.713
42,2,2.100,0.547
42,3,2.100,-0.957
43,0,2.150,3.213
43,1,2.150,1.712
43,2,2.150,0.547
43,3,2.150,-0.957
44,0,2.200,3.214
44,1,2.200,1.711
44,2,2.200,0.547
44,3,2.200,-0.957
45,0,2.250,3.215
45,1,2.250,1.710
45,2,2.250,0.547
45,3,2.250,-0.957
46,0,2.300,3.215
46,1,2.300,1.710
46,2,2.300,0.547
46,3,2.300,-0.957
47,0,2.350,3.216
47,1,2.350,1.709
47,2,2.350,0.547
47,3,2.350,-0.957
48,0,2.400,3.216
48,1,2.400,1.709
48,2,2.400,0.547
48,3,2.400,-0.957
49,0,2.450,3.216
49,1,2.450,1.709
49,2,2.450,0.546
49,3,2.450,-0.957
50,0,2.500,3.217
50,1,2.500,1.709
50,2,2.500,0.546
50,3,2.500,-0.957
51,0,2.550,3.217
51,1,2.550,1.708
51,2,2.550,0.546
51,3,2.550,-0.957
52,0,2.600,3.217
52,1,2.600,1.708
52,2,2.600,0.546
52,3,2.600,-0.957
53,0,2.650,3.217
53,1,2.650,1.708
53,2,2.650,0.546
53,3,2.650,-0.957
54,0,2.700,3.217
54,1,2.700,1.708
54,2,2.700,0.546
54,3,2.700,-0.957
55,0,2.750,3.217
55,1,2.750,1.708
55,2,2.750,0.546
55,3,2.750,-0.957
56,0,2.800,3.217
56,1,2.800,1.708
56,2,2.800,0.546
56,3,2.800,-0.957
57,0,2.850,3.217
57,1,2.850,1.708
57,2,2.850,0.546
57,3,2.850,-0.957
58,0,2.900,3.217
58,1,2.900,1.708
58,2,2.900,0.546
58,3,2.900,-0.957
59,0,2.950,3.217
59,1,2.950,1.708
59,2,2.950,0.546
59,3,2.950,-0.957
60,0,3.000,3.217
60,1,3.000,1.708
60,2,3.000,0.546
60,3,3.000,-0.957
61,0,3.050,3.217
61,1,3.050,1.708
61,2,3.050,0.546
61,3,3.050,-0.957
62,0,3.100,3.217
62,1,3.100,1.708
62,2,3.100,0.546
62,3,3.100,-0.957
63,0,3.150,3.218
63,1,3.150,1.708
63,2,3.150,0.546
63,3,3.150,-0.957
64,0,3.200,3.218
64,1,3.200,1.708
64,2,3.200,0.546
64,3,3.200,-0.957
65,0,3.250,3.218
65,1,3.250,1.708
65,2,3.250,0.546
65,3,3.250,-0.957
66,0,3.300,3.218
66,1,3.300,1.708
66,2,3.300,0.546
66,3,3.300,-0.957
67,0,3.350,3.218
67,1,3.350,1.708
67,2,3.350,0.546
67,3,3.350,-0.957
68,0,3.400,3.218
68,1,3.400,1.708
68,2,3.400,0.546
68,3,3.400,-0.957
69,0,3.450,3.218
69,1,3.450,1.708
69,2,3.450,0.546
69,3,3.450,-0.957
70,0,3.500,3.218
70,1,3.500,1.708
70,2,3.500,0.546
70,3,3.500,-0.957
71,0,3.550,3.218
71,1,3.550,1.708
71,2,3.550,0.546
71,3,3.550,-0.957
72,0,3.600,3.218
72,1,3.600,1.708
72,2,3.600,0.546
72,3,3.600,-0.957
73,0,3.650,3.218
73,1,3.650,1.708
73,2,3.650,0.546
73,3,3.650,-0.957
74,0,3.700,3.218
74,1,3.700,1.708
74,2,3.700,0.546
74,3,3.700,-0.957
75,0,3.750,3.218
75,1,3.750,1.708
75,2,3.750,0.546
75,3,3.750,-0.957
76,0,3.800,3.218
76,1,3.800,1.708
76,2,3.800,0.546
76,3,3.800,-0.957
77,0,3.850,3.218
77,1,3.850,1.708
77,2,3.850,0.546
77,3,3.850,-0.957
78,0,3.900,3.218
78,1,3.900,1.708
78,2,3.900,0.546
78,3,3.900,-0.957
79,0,3.950,3.218
79,1,3.950,1.708
79,2,3.950,0.546
79,3,3.950,-0.957
80,0,4.000,3.218
80,1,4.000,1.708
80,2,4.000,0.546
80,3,4.000,-0.957
81,0,4.050,3.218
81,1,4.050,1.708
81,2,4.050,0.546
81,3,4.050,-0.957
82,0,4.100,3.218
82,1,4.100,1.708
82,2,4.100,0.546
82,3,4.100,-0.957
83,0,4.150,3.218
83,1,4.150,1.708
83,2,4.150,0.546
83,3,4.150,-0.957
84,0,4.200,3.218
84,1,4.200,1.708
84,2,4.200,0.546
84,3,4.200,-0.957
85,0,4.250,3.218
85,1,4.250,1.708
85,2,4.250,0.546
85,3,4.250,-0.957
86,0,4.300,3.218
86,1,4.300,1.708
86,2,4.300,0.546
86,3,4.300,-0.957
87,0,4.350,3.218
87,1,4.350,1.708
87,2,4.350,0.546
87,3,4.350,-0.957
88,0,4.400,3.218
88,1,4.400,1.708
88,2,4.400,0.546
88,3,4.400,-0.957
89,0,4.450,3.218
89,1,4.450,1.708
89,2,4.450,0.546
89,3,4.450,-0.957
90,0,4.500,3.218
90,1,4.500,1.708
90,2,4.500,0.546
90,3,4.500,-0.957
91,0,4.550,3.218
91,1,4.550,1.708
91,2,4.550,0.546
91,3,4.550,-0.957
92,0,4.600,3.218
92,1,4.600,1.708
92,2,4.600,0.546
92,3,4.600,-0.957
93,0,4.650,3.218
93,1,4.650,1.708
93,2,4.650,0.546
93,3,4.650,-0.957
94,0,4.700,3.218
94,1,4.700,1.708
94,2,4.700,0.546
94,3,4.700,-0.957
95,0,4.750,3.218
95,1,4.750,1.708
95,2,4.750,0.546
95,3,4.750,-0.957
96,0,4.800,3.218
96,1,4.800,1.708
96,2,4.800,0.546
96,3,4.800,-0.957
97,0,4.850,3.218
97,1,4.850,1.708
97,2,4.850,0.546
97,3,4.850,-0.957
98,0,4.900,3.218
98,1,4.900,1.708
98,2,4.900,0.546
98,3,4.900,-0.957
99,0,4.950,3.218
99,1,4.950,1.708
99,2,4.950,0.546
99,3,4.950,-0.957
100,0,5.000,3.218
100,1,5.000,1.708
100,2,5.000,0.546
100,3,5.000,-0.957
101,0,5.050,3.218
101,1,5.050,1.708
101,2,5.050,0.546
101,3,5.050,-0.957
102,0,5.100,3.218
102,1,5.100,1.708
102,2,5.100,0.546
102,3,5.100,-0.957
103,0,5.150,3.218
103,1,5.150,1.708
103,2,5.150,0.546
103,3,5.150,-0.957
104,0,5.200,3.218
104,1,5.200,1.708
104,2,5.200,0.546
104,3,5.200,-0.957
105,0,5.250,3.218
105,1,5.250,1.708
105,2,5.250,0.546
105,3,5.250,-0.957
106,0,5.300,3.218
106,1,5.300,1.708
106,2,5.300,0.546
106,3,5.300,-0.957
107,0,5.350,3.218
107,1,5.350,1.708
107,2,5.350,0.546
107,3,5.350,-0.957
108,0,5.400,3.218
108,1,5.400,1.708
108,2,5.400,0.546
108,3,5.400,-0.957
109,0,5.450,3.218
109,1,5.450,1.708
109,2,5.450,0.546
109,3,5.450,-0.957
110,0,5.500,3.218
110,1,5.500,1.708
110,2,5.500,0.546
110,3,5.500,-0.957
111,0,5.550,3.218
111,1,5.550,1.708
111,2,5.550,0.546
111,3,5.550,-0.957
112,0,5.600,3.218
112,1,5.600,1.708
112,2,5.600,0.546
112,3,5.600,-0.957
113,0,5.650,3.218
113,1,5.650,1.708
113,2,5.650,0.546
113,3,5.650,-0.957
114,0,5.700,3.218
114,1,5.700,1.708
114,2,5.700,0.546
114,3,5.700,-0.957
115,0,5.750,3.218
115,1,5.750,1.708
115,2,5.750,0.546
