163,4,time,val
0,0,0,0.062,0.000
0,0,1,0.062,0.056
0,0,2,0.062,-0.012
0,0,3,0.062,-0.000
0,1,0,0.062,0.056
0,1,1,0.062,0.000
0,1,2,0.062,0.057
0,1,3,0.062,-0.007
0,2,0,0.062,-0.012
0,2,1,0.062,0.057
0,2,2,0.062,0.000
0,2,3,0.062,0.056
0,3,0,0.062,-0.000
0,3,1,0.062,-0.007
0,3,2,0.062,0.056
0,3,3,0.062,0.000
1,0,0,0.125,0.000
1,0,1,0.125,0.064
1,0,2,0.125,-0.029
1,0,3,0.125,0.001
1,1,0,0.125,0.064
1,1,1,0.125,0.000
1,1,2,0.125,0.061
1,1,3,0.125,-0.010
1,2,0,0.125,-0.029
1,2,1,0.125,0.061
1,2,2,0.125,0.000
1,2,3,0.125,0.063
1,3,0,0.125,0.001
1,3,1,0.125,-0.010
1,3,2,0.125,0.063
1,3,3,0.125,0.000
2,0,0,0.252,0.000
2,0,1,0.252,0.083
2,0,2,0.252,-0.070
2,0,3,0.252,0.004
2,1,0,0.252,0.083
2,1,1,0.252,0.000
2,1,2,0.252,0.082
2,1,3,0.252,-0.028
2,2,0,0.252,-0.070
2,2,1,0.252,0.082
2,2,2,0.252,0.000
2,2,3,0.252,0.079
2,3,0,0.252,0.004
2,3,1,0.252,-0.028
2,3,2,0.252,0.079
2,3,3,0.252,0.000
3,0,0,0.402,0.000
3,0,1,0.402,0.118
3,0,2,0.402,-0.143
3,0,3,0.402,0.011
3,1,0,0.402,0.118
3,1,1,0.402,0.000
3,1,2,0.402,0.119
3,1,3,0.402,-0.059
3,2,0,0.402,-0.143
3,2,1,0.402,0.119
3,2,2,0.402,0.000
3,2,3,0.402,0.104
3,3,0,0.402,0.011
3,3,1,0.402,-0.059
3,3,2,0.402,0.104
3,3,3,0.402,0.000
4,0,0,0.504,0.000
4,0,1,0.504,0.142
4,0,2,0.504,-0.194
4,0,3,0.504,0.016
4,1,0,0.504,0.142
4,1,1,0.504,0.000
4,1,2,0.504,0.147
4,1,3,0.504,-0.081
4,2,0,0.504,-0.194
