163,4,time,val
0,0,0.062,2.085
0,1,0.062,2.256
0,2,0.062,2.044
0,3,0.062,-1.469
1,0,0.125,2.063
1,1,0.125,2.313
1,2,0.125,2.060
1,3,0.125,-1.521
2,0,0.252,2.003
2,1,0.252,2.436
2,2,0.252,2.008
2,3,0.252,-1.532
3,0,0.402,1.880
3,1,0.402,2.668
3,2,0.402,1.898
3,3,0.402,-1.532
4,0,0.504,1.747
4,1,0.504,2.920
4,2,0.504,1.779
4,3,0.504,-1.532
5,0,0.581,1.631
5,1,0.581,3.140
5,2,0.581,1.677
5,3,0.581,-1.532
6,0,0.657,1.527
6,1,0.657,3.333
6,2,0.657,1.587
6,3,0.657,-1.532
7,0,0.730,1.460
7,1,0.730,3.453
7,2,0.730,1.534
7,3,0.730,-1.532
8,0,0.808,1.423
8,1,0.808,3.515
8,2,0.808,1.509
8,3,0.808,-1.532
9,0,0.908,1.402
9,1,0.908,3.542
9,2,0.908,1.503
9,3,0.908,-1.532
10,0,1.066,1.385
10,1,1.066,3.548
10,2,1.066,1.514
10,3,1.066,-1.532
11,0,1.314,1.357
11,1,1.314,3.535
11,2,1.314,1.541
11,3,1.314,-1.519
12,0,1.360,1.350
12,1,1.360,3.548
12,2,1.360,1.549
12,3,1.360,-1.532
13,0,1.406,1.342
13,1,1.406,3.548
13,2,1.406,1.557
13,3,1.406,-1.532
14,0,1.593,1.308
14,1,1.593,3.548
14,2,1.593,1.591
14,3,1.593,-1.532
15,0,1.914,1.233
15,1,1.914,3.534
15,2,1.914,1.666
15,3,1.914,-1.518
16,0,1.958,1.218
16,1,1.958,3.548
16,2,1.958,1.681
16,3,1.958,-1.532
17,0,2.003,1.202
17,1,2.003,3.548
17,2,2.003,1.697
17,3,2.003,-1.532
18,0,2.183,1.136
18,1,2.183,3.548
18,2,2.183,1.763
18,3,2.183,-1.532
19,0,2.671,0.952
19,1,2.671,3.540
19,2,2.671,1.947
19,3,2.671,-1.524
20,0,2.728,0.930
20,1,2.728,3.546
20,2,2.728,1.968
20,3,2.728,-1.530
21,0,2.784,0.911
21,1,2.784,3.548
21,2,2.784,1.988
21,3,2.784,-1.532
22,0,2.907,0.874
22,1,2.907,3.546
22,2,2.907,2.024
22,3,2.907,-1.530
23,0,3.028,0.846
23,1,3.028,3.540
23,2,3.028,2.053
23,3,3.028,-1.524
24,0,3.086,0.836
24,1,3.086,3.546
24,2,3.086,2.063
24,3,3.086,-1.530
25,0,3.143,0.828
25,1,3.143,3.548
25,2,3.143,2.071
25,3,3.143,-1.532
26,0,3.263,0.813
26,1,3.263,3.546
26,2,3.263,2.086
26,3,3.263,-1.530
27,0,3.381,0.804
27,1,3.381,3.540
27,2,3.381,2.095
27,3,3.381,-1.524
28,0,3.439,0.800
28,1,3.439,3.546
28,2,3.439,2.098
28,3,3.439,-1.530
29,0,3.498,0.798
29,1,3.498,3.548
29,2,3.498,2.101
29,3,3.498,-1.532
30,0,3.614,0.794
30,1,3.614,3.546
30,2,3.614,2.105
30,3,3.614,-1.530
31,0,3.730,0.791
31,1,3.730,3.540
31,2,3.730,2.108
31,3,3.730,-1.524
32,0,3.788,0.790
32,1,3.788,3.546
32,2,3.788,2.109
32,3,3.788,-1.530
33,0,3.847,0.789
33,1,3.847,3.548
33,2,3.847,2.110
33,3,3.847,-1.531
34,0,3.961,0.788
34,1,3.961,3.546
