581,4,time,val
0,0,0,0.000,0.000000000000
0,0,1,0.000,0.100000000000
0,0,2,0.000,-0.000000000000
0,0,3,0.000,-0.000000000000
0,1,0,0.000,0.100000000000
0,1,1,0.000,0.000000000000
0,1,2,0.000,0.100000000000
0,1,3,0.000,-0.000000000000
0,2,0,0.000,-0.000000000000
0,2,1,0.000,0.100000000000
0,2,2,0.000,0.000000000000
0,2,3,0.000,0.100000000000
0,3,0,0.000,-0.000000000000
0,3,1,0.000,-0.000000000000
0,3,2,0.000,0.100000000000
0,3,3,0.000,0.000000000000
1,0,0,0.000,0.000000000000
1,0,1,0.000,0.100019998196
1,0,2,0.000,-0.000039989650
1,0,3,0.000,-0.000000000001
1,1,0,0.000,0.100019998196
1,1,1,0.000,0.000000000000
1,1,2,0.000,0.100039990786
1,1,3,0.000,-0.000039997032
1,2,0,0.000,-0.000039989650
1,2,1,0.000,0.100039990786
1,2,2,0.000,0.000000000000
1,2,3,0.000,0.100019997701
1,3,0,0.000,-0.000000000001
1,3,1,0.000,-0.000039997032
1,3,2,0.000,0.100019997701
1,3,3,0.000,0.000000000000
2,0,0,0.000,0.000000000000
2,0,1,0.000,0.100050000936
2,0,2,0.000,-0.000099957079
2,0,3,0.000,0.000000023971
2,1,0,0.000,0.100050000936
2,1,1,0.000,0.000000000000
2,1,2,0.000,0.100099961749
2,1,3,0.000,-0.000100026685
2,2,0,0.000,-0.000099957079
2,2,1,0.000,0.100099961749
2,2,2,0.000,0.000000000000
2,2,3,0.000,0.100049997108
2,3,0,0.000,0.000000023971
2,3,1,0.000,-0.000100026685
2,3,2,0.000,0.100049997108
2,3,3,0.000,0.000000000000
3,0,0,0.000,0.000000000000
3,0,1,0.000,0.100095017168
3,0,2,0.000,-0.000189869514
3,0,3,0.000,0.000000113795
3,1,0,0.000,0.100095017168
3,1,1,0.000,0.000000000000
3,1,2,0.000,0.100189883730
3,1,3,0.000,-0.000190147737
3,2,0,0.000,-0.000189869514
3,2,1,0.000,0.100189883730
3,2,2,0.000,0.000000000000
3,2,3,0.000,0.100095002558
3,3,0,0.000,0.000000113795
3,3,1,0.000,-0.000190147737
3,3,2,0.000,0.100095002558
3,3,3,0.000,0.000000000000
4,0,0,0.001,0.000000000000
4,0,1,0.001,0.100162568340
4,0,2,0.001,-0.000324649872
4,0,3,0.001,0.000000369494
4,1,0,0.001,0.100162568340
4,1,1,0.001,0.000000000000
4,1,2,0.001,0.100324688394
4,1,3,0.001,-0.000325501059
4,2,0,0.001,-0.000324649872
4,2,1,0.001,0.100324688394
4,2,2,0.001,0.000000000000
4,2,3,0.001,0.100162524703
4,3,0,0.001,0.000000369494
