106,4,time,val
0,0,0,0.000,0.000
0,0,1,0.000,-0.025
0,0,2,0.000,0.000
0,0,3,0.000,0.000
0,1,0,0.000,-0.025
0,1,1,0.000,0.000
0,1,2,0.000,-0.025
0,1,3,0.000,0.000
0,2,0,0.000,0.000
0,2,1,0.000,-0.025
0,2,2,0.000,0.000
0,2,3,0.000,-0.025
0,3,0,0.000,0.000
0,3,1,0.000,0.000
0,3,2,0.000,-0.025
0,3,3,0.000,0.000
1,0,0,0.017,0.000
1,0,1,0.017,-0.026
1,0,2,0.017,0.002
1,0,3,0.017,0.000
1,1,0,0.017,-0.026
1,1,1,0.017,0.000
1,1,2,0.017,-0.027
1,1,3,0.017,0.002
1,2,0,0.017,0.002
1,2,1,0.017,-0.027
1,2,2,0.017,0.000
1,2,3,0.017,-0.026
1,3,0,0.017,0.000
1,3,1,0.017,0.002
1,3,2,0.017,-0.026
1,3,3,0.017,0.000
2,0,0,0.033,0.000
2,0,1,0.033,-0.027
2,0,2,0.033,0.003
2,0,3,0.033,-0.000
2,1,0,0.033,-0.027
2,1,1,0.033,0.000
2,1,2,0.033,-0.028
2,1,3,0.033,0.003
2,2,0,0.033,0.003
2,2,1,0.033,-0.028
2,2,2,0.033,0.000
2,2,3,0.033,-0.027
2,3,0,0.033,-0.000
2,3,1,0.033,0.003
2,3,2,0.033,-0.027
2,3,3,0.033,0.000
3,0,0,0.050,0.000
3,0,1,0.050,-0.027
3,0,2,0.050,0.005
3,0,3,0.050,-0.000
3,1,0,0.050,-0.027
3,1,1,0.050,0.000
3,1,2,0.050,-0.030
3,1,3,0.050,0.005
3,2,0,0.050,0.005
3,2,1,0.050,-0.030
3,2,2,0.050,0.000
3,2,3,0.050,-0.027
3,3,0,0.050,-0.000
3,3,1,0.050,0.005
3,3,2,0.050,-0.027
3,3,3,0.050,0.000
4,0,0,0.066,0.000
4,0,1,0.066,-0.028
4,0,2,0.066,0.007
4,0,3,0.066,-0.001
4,1,0,0.066,-0.028
4,1,1,0.066,0.000
4,1,2,0.066,-0.033
4,1,3,0.066,0.007
4,2,0,0.066,0.007
4,2,1,0.066,-0.033
4,2,2,0.066,0.000
4,2,3,0.066,-0.028
4,3,0,0.066,-0.001
4,3,1,0.066,0.007
4,3,2,0.066,-0.028
4,3,3,0.066,0.000
5,0,0,0.082,0.000
5,0,1,0.082,-0.029
5,0,2,0.082,0.009
5,0,3,0.082,-0.001
5,1,0,0.082,-0.029
5,1,1,0.082,0.000
5,1,2,0.082,-0.035
5,1,3,0.082,0.009
5,2,0,0.082,0.009
5,2,1,0.082,-0.035
5,2,2,0.082,0.000
5,2,3,0.082,-0.029
5,3,0,0.082,-0.001
5,3,1,0.082,0.009
5,3,2,0.082,-0.029
5,3,3,0.082,0.000
6,0,0,0.099,0.000
6,0,1,0.099,-0.029
6,0,2,0.099,0.011
6,0,3,0.099,-0.002
6,1,0,0.099,-0.029
6,1,1,0.099,0.000
6,1,2,0.099,-0.037
6,1,3,0.099,0.011
6,2,0,0.099,0.011
6,2,1,0.099,-0.037
6,2,2,0.099,0.000
6,2,3,0.099,-0.030
6,3,0,0.099,-0.002
6,3,1,0.099,0.011
6,3,2,0.099,-0.030
6,3,3,0.099,0.000
7,0,0,0.115,0.000
7,0,1,0.115,-0.030
7,0,2,0.115,0.014
7,0,3,0.115,-0.002
7,1,0,0.115,-0.030
7,1,1,0.115,0.000
7,1,2,0.115,-0.040
7,1,3,0.115,0.013
7,2,0,0.115,0.014
7,2,1,0.115,-0.040
7,2,2,0.115,0.000
7,2,3,0.115,-0.030
7,3,0,0.115,-0.002
7,3,1,0.115,0.013
7,3,2,0.115,-0.030
7,3,3,0.115,0.000
8,0,0,0.131,0.000
8,0,1,0.131,-0.030
8,0,2,0.131,0.016
8,0,3,0.131,-0.003
8,1,0,0.131,-0.030
8,1,1,0.131,0.000
8,1,2,0.131,-0.043
8,1,3,0.131,0.016
8,2,0,0.131,0.016
8,2,1,0.131,-0.043
8,2,2,0.131,0.000
8,2,3,0.131,-0.031
8,3,0,0.131,-0.003
8,3,1,0.131,0.016
8,3,2,0.131,-0.031
8,3,3,0.131,0.000
9,0,0,0.148,0.000
9,0,1,0.148,-0.031
9,0,2,0.148,0.019
9,0,3,0.148,-0.004
9,1,0,0.148,-0.031
9,1,1,0.148,0.000
9,1,2,0.148,-0.046
9,1,3,0.148,0.018
9,2,0,0.148,0.019
9,2,1,0.148,-0.046
9,2,2,0.148,0.000
9,2,3,0.148,-0.031
9,3,0,0.148,-0.004
9,3,1,0.148,0.018
9,3,2,0.148,-0.031
9,3,3,0.148,0.000
10,0,0,0.164,0.000
10,0,1,0.164,-0.031
10,0,2,0.164,0.022
10,0,3,0.164,-0.006
10,1,0,0.164,-0.031
10,1,1,0.164,0.000
10,1,2,0.164,-0.049
10,1,3,0.164,0.021
10,2,0,0.164,0.022
10,2,1,0.164,-0.049
10,2,2,0.164,0.000
10,2,3,0.164,-0.032
10,3,0,0.164,-0.006
10,3,1,0.164,0.021
10,3,2,0.164,-0.032
10,3,3,0.164,0.000
11,0,0,0.181,0.000
11,0,1,0.181,-0.031
11,0,2,0.181,0.024
11,0,3,0.181,-0.007
11,1,0,0.181,-0.031
11,1,1,0.181,0.000
11,1,2,0.181,-0.052
11,1,3,0.181,0.024
11,2,0,0.181,0.024
11,2,1,0.181,-0.052
11,2,2,0.181,0.000
11,2,3,0.181,-0.033
11,3,0,0.181,-0.007
11,3,1,0.181,0.024
11,3,2,0.181,-0.033
11,3,3,0.181,0.000
12,0,0,0.198,0.000
12,0,1,0.198,-0.031
12,0,2,0.198,0.028
12,0,3,0.198,-0.009
12,1,0,0.198,-0.031
12,1,1,0.198,0.000
12,1,2,0.198,-0.056
12,1,3,0.198,0.026
12,2,0,0.198,0.028
12,2,1,0.198,-0.056
12,2,2,0.198,0.000
12,2,3,0.198,-0.033
12,3,0,0.198,-0.009
12,3,1,0.198,0.026
12,3,2,0.198,-0.033
12,3,3,0.198,0.000
13,0,0,0.215,0.000
13,0,1,0.215,-0.031
13,0,2,0.215,0.031
13,0,3,0.215,-0.011
13,1,0,0.215,-0.031
13,1,1,0.215,0.000
13,1,2,0.215,-0.059
13,1,3,0.215,0.029
13,2,0,0.215,0.031
13,2,1,0.215,-0.059
13,2,2,0.215,0.000
13,2,3,0.215,-0.034
13,3,0,0.215,-0.011
13,3,1,0.215,0.029
13,3,2,0.215,-0.034
13,3,3,0.215,0.000
14,0,0,0.230,0.000
14,0,1,0.230,-0.032
14,0,2,0.230,0.034
14,0,3,0.230,-0.012
14,1,0,0.230,-0.032
14,1,1,0.230,0.000
14,1,2,0.230,-0.063
14,1,3,0.230,0.032
14,2,0,0.230,0.034
14,2,1,0.230,-0.063
14,2,2,0.230,0.000
14,2,3,0.230,-0.034
14,3,0,0.230,-0.012
14,3,1,0.230,0.032
14,3,2,0.230,-0.034
14,3,3,0.230,0.000
15,0,0,0.246,0.000
15,0,1,0.246,-0.032
15,0,2,0.246,0.037
15,0,3,0.246,-0.015
15,1,0,0.246,-0.032
15,1,1,0.246,0.000
15,1,2,0.246,-0.067
15,1,3,0.246,0.035
15,2,0,0.246,0.037
15,2,1,0.246,-0.067
15,2,2,0.246,0.000
15,2,3,0.246,-0.034
15,3,0,0.246,-0.015
15,3,1,0.246,0.035
15,3,2,0.246,-0.034
15,3,3,0.246,0.000
16,0,0,0.261,0.000
16,0,1,0.261,-0.032
16,0,2,0.261,0.041
16,0,3,0.261,-0.017
16,1,0,0.261,-0.032
16,1,1,0.261,0.000
16,1,2,0.261,-0.071
16,1,3,0.261,0.038
16,2,0,0.261,0.041
16,2,1,0.261,-0.071
16,2,2,0.261,0.000
16,2,3,0.261,-0.035
16,3,0,0.261,-0.017
16,3,1,0.261,0.038
16,3,2,0.261,-0.035
16,3,3,0.261,0.000
17,0,0,0.277,0.000
17,0,1,0.277,-0.031
17,0,2,0.277,0.044
17,0,3,0.277,-0.019
17,1,0,0.277,-0.031
17,1,1,0.277,0.000
17,1,2,0.277,-0.075
17,1,3,0.277,0.041
17,2,0,0.277,0.044
17,2,1,0.277,-0.075
17,2,2,0.277,0.000
17,2,3,0.277,-0.035
17,3,0,0.277,-0.019
17,3,1,0.277,0.041
17,3,2,0.277,-0.035
17,3,3,0.277,0.000
18,0,0,0.286,0.000
18,0,1,0.286,-0.031
18,0,2,0.286,0.046
18,0,3,0.286,-0.020
18,1,0,0.286,-0.031
18,1,1,0.286,0.000
18,1,2,0.286,-0.077
18,1,3,0.286,0.043
18,2,0,0.286,0.046
18,2,1,0.286,-0.077
18,2,2,0.286,0.000
18,2,3,0.286,-0.035
18,3,0,0.286,-0.020
18,3,1,0.286,0.043
18,3,2,0.286,-0.035
18,3,3,0.286,0.000
19,0,0,0.294,0.000
19,0,1,0.294,-0.031
19,0,2,0.294,0.048
19,0,3,0.294,-0.022
19,1,0,0.294,-0.031
19,1,1,0.294,0.000
19,1,2,0.294,-0.079
19,1,3,0.294,0.044
19,2,0,0.294,0.048
19,2,1,0.294,-0.079
19,2,2,0.294,0.000
19,2,3,0.294,-0.035
19,3,0,0.294,-0.022
19,3,1,0.294,0.044
19,3,2,0.294,-0.035
19,3,3,0.294,0.000
20,0,0,0.303,0.000
20,0,1,0.303,-0.031
20,0,2,0.303,0.051
20,0,3,0.303,-0.023
20,1,0,0.303,-0.031
20,1,1,0.303,0.000
20,1,2,0.303,-0.082
20,1,3,0.303,0.046
20,2,0,0.303,0.051
20,2,1,0.303,-0.082
20,2,2,0.303,0.000
20,2,3,0.303,-0.035
20,3,0,0.303,-0.023
20,3,1,0.303,0.046
20,3,2,0.303,-0.035
20,3,3,0.303,0.000
21,0,0,0.312,0.000
21,0,1,0.312,-0.031
21,0,2,0.312,0.053
21,0,3,0.312,-0.025
21,1,0,0.312,-0.031
21,1,1,0.312,0.000
21,1,2,0.312,-0.084
21,1,3,0.312,0.048
21,2,0,0.312,0.053
21,2,1,0.312,-0.084
21,2,2,0.312,0.000
21,2,3,0.312,-0.036
21,3,0,0.312,-0.025
21,3,1,0.312,0.048
21,3,2,0.312,-0.036
21,3,3,0.312,0.000
22,0,0,0.321,0.000
22,0,1,0.321,-0.031
22,0,2,0.321,0.055
22,0,3,0.321,-0.027
22,1,0,0.321,-0.031
22,1,1,0.321,0.000
22,1,2,0.321,-0.086
22,1,3,0.321,0.050
22,2,0,0.321,0.055
22,2,1,0.321,-0.086
22,2,2,0.321,0.000
22,2,3,0.321,-0.036
22,3,0,0.321,-0.027
22,3,1,0.321,0.050
22,3,2,0.321,-0.036
22,3,3,0.321,0.000
23,0,0,0.329,0.000
23,0,1,0.329,-0.031
23,0,2,0.329,0.057
23,0,3,0.329,-0.028
23,1,0,0.329,-0.031
23,1,1,0.329,0.000
23,1,2,0.329,-0.089
23,1,3,0.329,0.051
23,2,0,0.329,0.057
23,2,1,0.329,-0.089
23,2,2,0.329,0.000
23,2,3,0.329,-0.036
23,3,0,0.329,-0.028
23,3,1,0.329,0.051
23,3,2,0.329,-0.036
23,3,3,0.329,0.000
24,0,0,0.338,0.000
24,0,1,0.338,-0.030
24,0,2,0.338,0.060
24,0,3,0.338,-0.030
24,1,0,0.338,-0.030
24,1,1,0.338,0.000
24,1,2,0.338,-0.091
24,1,3,0.338,0.053
24,2,0,0.338,0.060
24,2,1,0.338,-0.091
24,2,2,0.338,0.000
24,2,3,0.338,-0.036
24,3,0,0.338,-0.030
24,3,1,0.338,0.053
24,3,2,0.338,-0.036
24,3,3,0.338,0.000
25,0,0,0.347,0.000
25,0,1,0.347,-0.030
25,0,2,0.347,0.062
25,0,3,0.347,-0.032
25,1,0,0.347,-0.030
25,1,1,0.347,0.000
25,1,2,0.347,-0.094
25,1,3,0.347,0.055
25,2,0,0.347,0.062
25,2,1,0.347,-0.094
25,2,2,0.347,0.000
25,2,3,0.347,-0.036
25,3,0,0.347,-0.032
25,3,1,0.347,0.055
25,3,2,0.347,-0.036
25,3,3,0.347,0.000
26,0,0,0.356,0.000
26,0,1,0.356,-0.030
26,0,2,0.356,0.064
26,0,3,0.356,-0.033
26,1,0,0.356,-0.030
26,1,1,0.356,0.000
26,1,2,0.356,-0.096
26,1,3,0.356,0.057
26,2,0,0.356,0.064
26,2,1,0.356,-0.096
26,2,2,0.356,0.000
26,2,3,0.356,-0.036
26,3,0,0.356,-0.033
26,3,1,0.356,0.057
26,3,2,0.356,-0.036
26,3,3,0.356,0.000
27,0,0,0.365,0.000
27,0,1,0.365,-0.030
27,0,2,0.365,0.067
27,0,3,0.365,-0.035
27,1,0,0.365,-0.030
27,1,1,0.365,0.000
27,1,2,0.365,-0.099
27,1,3,0.365,0.058
27,2,0,0.365,0.067
27,2,1,0.365,-0.099
27,2,2,0.365,0.000
27,2,3,0.365,-0.036
27,3,0,0.365,-0.035
27,3,1,0.365,0.058
27,3,2,0.365,-0.036
27,3,3,0.365,0.000
28,0,0,0.374,0.000
28,0,1,0.374,-0.030
28,0,2,0.374,0.069
28,0,3,0.374,-0.037
28,1,0,0.374,-0.030
28,1,1,0.374,0.000
28,1,2,0.374,-0.102
28,1,3,0.374,0.060
28,2,0,0.374,0.069
28,2,1,0.374,-0.102
28,2,2,0.374,0.000
28,2,3,0.374,-0.036
28,3,0,0.374,-0.037
28,3,1,0.374,0.060
28,3,2,0.374,-0.036
28,3,3,0.374,0.000
29,0,0,0.383,0.000
29,0,1,0.383,-0.029
29,0,2,0.383,0.072
29,0,3,0.383,-0.039
29,1,0,0.383,-0.029
29,1,1,0.383,0.000
29,1,2,0.383,-0.104
29,1,3,0.383,0.062
29,2,0,0.383,0.072
29,2,1,0.383,-0.104
29,2,2,0.383,0.000
29,2,3,0.383,-0.036
29,3,0,0.383,-0.039
29,3,1,0.383,0.062
29,3,2,0.383,-0.036
29,3,3,0.383,0.000
30,0,0,0.392,0.000
30,0,1,0.392,-0.029
30,0,2,0.392,0.074
30,0,3,0.392,-0.041
30,1,0,0.392,-0.029
30,1,1,0.392,0.000
30,1,2,0.392,-0.107
30,1,3,0.392,0.064
30,2,0,0.392,0.074
30,2,1,0.392,-0.107
30,2,2,0.392,0.000
30,2,3,0.392,-0.036
30,3,0,0.392,-0.041
30,3,1,0.392,0.064
30,3,2,0.392,-0.036
30,3,3,0.392,0.000
31,0,0,0.401,0.000
31,0,1,0.401,-0.029
31,0,2,0.401,0.077
31,0,3,0.401,-0.043
31,1,0,0.401,-0.029
31,1,1,0.401,0.000
31,1,2,0.401,-0.109
31,1,3,0.401,0.065
31,2,0,0.401,0.077
31,2,1,0.401,-0.109
31,2,2,0.401,0.000
31,2,3,0.401,-0.036
31,3,0,0.401,-0.043
31,3,1,0.401,0.065
31,3,2,0.401,-0.036
31,3,3,0.401,0.000
32,0,0,0.410,0.000
32,0,1,0.410,-0.029
32,0,2,0.410,0.080
32,0,3,0.410,-0.045
32,1,0,0.410,-0.029
32,1,1,0.410,0.000
32,1,2,0.410,-0.112
32,1,3,0.410,0.067
32,2,0,0.410,0.080
32,2,1,0.410,-0.112
32,2,2,0.410,0.000
32,2,3,0.410,-0.036
32,3,0,0.410,-0.045
32,3,1,0.410,0.067
32,3,2,0.410,-0.036
32,3,3,0.410,0.000
33,0,0,0.419,0.000
33,0,1,0.419,-0.028
33,0,2,0.419,0.082
33,0,3,0.419,-0.047
33,1,0,0.419,-0.028
33,1,1,0.419,0.000
33,1,2,0.419,-0.115
33,1,3,0.419,0.069
33,2,0,0.419,0.082
33,2,1,0.419,-0.115
33,2,2,0.419,0.000
33,2,3,0.419,-0.036
33,3,0,0.419,-0.047
33,3,1,0.419,0.069
33,3,2,0.419,-0.036
33,3,3,0.419,0.000
34,0,0,0.428,0.000
34,0,1,0.428,-0.028
34,0,2,0.428,0.085
34,0,3,0.428,-0.049
34,1,0,0.428,-0.028
34,1,1,0.428,0.000
34,1,2,0.428,-0.117
34,1,3,0.428,0.070
34,2,0,0.428,0.085
34,2,1,0.428,-0.117
34,2,2,0.428,0.000
34,2,3,0.428,-0.036
34,3,0,0.428,-0.049
34,3,1,0.428,0.070
34,3,2,0.428,-0.036
34,3,3,0.428,0.000
35,0,0,0.438,0.000
35,0,1,0.438,-0.028
35,0,2,0.438,0.088
35,0,3,0.438,-0.051
35,1,0,0.438,-0.028
35,1,1,0.438,0.000
35,1,2,0.438,-0.120
35,1,3,0.438,0.072
35,2,0,0.438,0.088
35,2,1,0.438,-0.120
35,2,2,0.438,0.000
35,2,3,0.438,-0.036
35,3,0,0.438,-0.051
35,3,1,0.438,0.072
35,3,2,0.438,-0.036
35,3,3,0.438,0.000
36,0,0,0.447,0.000
36,0,1,0.447,-0.027
36,0,2,0.447,0.091
36,0,3,0.447,-0.053
36,1,0,0.447,-0.027
36,1,1,0.447,0.000
36,1,2,0.447,-0.123
36,1,3,0.447,0.074
36,2,0,0.447,0.091
36,2,1,0.447,-0.123
36,2,2,0.447,0.000
36,2,3,0.447,-0.036
36,3,0,0.447,-0.053
36,3,1,0.447,0.074
36,3,2,0.447,-0.036
36,3,3,0.447,0.000
37,0,0,0.456,0.000
37,0,1,0.456,-0.027
37,0,2,0.456,0.094
37,0,3,0.456,-0.055
37,1,0,0.456,-0.027
37,1,1,0.456,0.000
37,1,2,0.456,-0.125
37,1,3,0.456,0.075
37,2,0,0.456,0.094
37,2,1,0.456,-0.125
37,2,2,0.456,0.000
37,2,3,0.456,-0.036
37,3,0,0.456,-0.055
37,3,1,0.456,0.075
37,3,2,0.456,-0.036
37,3,3,0.456,0.000
38,0,0,0.466,0.000
38,0,1,0.466,-0.027
38,0,2,0.466,0.096
38,0,3,0.466,-0.057
38,1,0,0.466,-0.027
38,1,1,0.466,0.000
38,1,2,0.466,-0.128
38,1,3,0.466,0.077
38,2,0,0.466,0.096
38,2,1,0.466,-0.128
38,2,2,0.466,0.000
38,2,3,0.466,-0.036
38,3,0,0.466,-0.057
38,3,1,0.466,0.077
38,3,2,0.466,-0.036
38,3,3,0.466,0.000
39,0,0,0.475,0.000
39,0,1,0.475,-0.026
39,0,2,0.475,0.099
39,0,3,0.475,-0.059
39,1,0,0.475,-0.026
39,1,1,0.475,0.000
39,1,2,0.475,-0.131
39,1,3,0.475,0.078
39,2,0,0.475,0.099
39,2,1,0.475,-0.131
39,2,2,0.475,0.000
39,2,3,0.475,-0.036
39,3,0,0.475,-0.059
39,3,1,0.475,0.078
39,3,2,0.475,-0.036
39,3,3,0.475,0.000
40,0,0,0.485,0.000
40,0,1,0.485,-0.026
40,0,2,0.485,0.102
40,0,3,0.485,-0.061
40,1,0,0.485,-0.026
40,1,1,0.485,0.000
40,1,2,0.485,-0.134
40,1,3,0.485,0.080
40,2,0,0.485,0.102
40,2,1,0.485,-0.134
40,2,2,0.485,0.000
40,2,3,0.485,-0.036
40,3,0,0.485,-0.061
40,3,1,0.485,0.080
40,3,2,0.485,-0.036
40,3,3,0.485,0.000
41,0,0,0.495,0.000
41,0,1,0.495,-0.026
41,0,2,0.495,0.105
41,0,3,0.495,-0.063
41,1,0,0.495,-0.026
41,1,1,0.495,0.000
41,1,2,0.495,-0.136
41,1,3,0.495,0.081
41,2,0,0.495,0.105
41,2,1,0.495,-0.136
41,2,2,0.495,0.000
41,2,3,0.495,-0.036
41,3,0,0.495,-0.063
41,3,1,0.495,0.081
41,3,2,0.495,-0.036
41,3,3,0.495,0.000
42,0,0,0.505,0.000
42,0,1,0.505,-0.025
42,0,2,0.505,0.108
42,0,3,0.505,-0.065
42,1,0,0.505,-0.025
42,1,1,0.505,0.000
42,1,2,0.505,-0.139
42,1,3,0.505,0.082
42,2,0,0.505,0.108
42,2,1,0.505,-0.139
42,2,2,0.505,0.000
42,2,3,0.505,-0.036
42,3,0,0.505,-0.065
42,3,1,0.505,0.082
42,3,2,0.505,-0.036
42,3,3,0.505,0.000
43,0,0,0.515,0.000
43,0,1,0.515,-0.025
43,0,2,0.515,0.112
43,0,3,0.515,-0.067
43,1,0,0.515,-0.025
43,1,1,0.515,0.000
43,1,2,0.515,-0.142
43,1,3,0.515,0.084
43,2,0,0.515,0.112
43,2,1,0.515,-0.142
43,2,2,0.515,0.000
43,2,3,0.515,-0.036
43,3,0,0.515,-0.067
43,3,1,0.515,0.084
43,3,2,0.515,-0.036
