W/J,D/J,L,Invar
5.0,0.1,4.0,0.0004707265837496175,-3.327231274712817
5.0,0.2,4.0,0.0018284198377214126,-2.737924075412566
4.0,0.1,4.0,0.0008924965237951103,-3.049393466755872
4.0,0.2,4.0,0.003481790354062003,-2.4581973822178456
3.0,0.1,4.0,0.0019015108356562802,-2.7209011954418165
3.0,0.2,4.0,0.007333274950237334,-2.13470203147346
2.0,0.1,4.0,0.004503764934279915,-2.3464242847662153
2.0,0.2,4.0,0.01713489712873748,-1.7661184985615592
1.0,0.1,4.0,0.0111573996299512,-1.9524370113083522
1.0,0.2,4.0,0.03844811964851279,-1.4151248950366373
