121,4,time,val
0,0,0,0.000,0.000
0,0,1,0.000,-0.025
0,0,2,0.000,0.000
0,0,3,0.000,0.000
0,1,0,0.000,-0.025
0,1,1,0.000,0.000
0,1,2,0.000,-0.025
0,1,3,0.000,0.000
0,2,0,0.000,0.000
0,2,1,0.000,-0.025
0,2,2,0.000,0.000
0,2,3,0.000,-0.025
0,3,0,0.000,0.000
0,3,1,0.000,0.000
0,3,2,0.000,-0.025
0,3,3,0.000,0.000
1,0,0,0.000,0.000
1,0,1,0.000,-0.025
1,0,2,0.000,0.000
1,0,3,0.000,0.000
1,1,0,0.000,-0.025
1,1,1,0.000,0.000
1,1,2,0.000,-0.025
1,1,3,0.000,0.000
1,2,0,0.000,0.000
1,2,1,0.000,-0.025
1,2,2,0.000,0.000
1,2,3,0.000,-0.025
1,3,0,0.000,0.000
1,3,1,0.000,0.000
1,3,2,0.000,-0.025
1,3,3,0.000,0.000
2,0,0,0.001,0.000
2,0,1,0.001,-0.025
2,0,2,0.001,0.000
2,0,3,0.001,-0.000
2,1,0,0.001,-0.025
2,1,1,0.001,0.000
2,1,2,0.001,-0.025
2,1,3,0.001,0.000
2,2,0,0.001,0.000
2,2,1,0.001,-0.025
2,2,2,0.001,0.000
2,2,3,0.001,-0.025
2,3,0,0.001,-0.000
2,3,1,0.001,0.000
2,3,2,0.001,-0.025
2,3,3,0.001,0.000
3,0,0,0.002,0.000
3,0,1,0.002,-0.025
3,0,2,0.002,0.000
3,0,3,0.002,-0.000
3,1,0,0.002,-0.025
3,1,1,0.002,0.000
3,1,2,0.002,-0.025
3,1,3,0.002,0.000
3,2,0,0.002,0.000
3,2,1,0.002,-0.025
3,2,2,0.002,0.000
3,2,3,0.002,-0.025
3,3,0,0.002,-0.000
3,3,1,0.002,0.000
3,3,2,0.002,-0.025
3,3,3,0.002,0.000
4,0,0,0.009,0.000
4,0,1,0.009,-0.025
4,0,2,0.009,0.001
4,0,3,0.009,-0.000
4,1,0,0.009,-0.025
4,1,1,0.009,0.000
4,1,2,0.009,-0.026
4,1,3,0.009,0.001
4,2,0,0.009,0.001
4,2,1,0.009,-0.026
4,2,2,0.009,0.000
4,2,3,0.009,-0.025
4,3,0,0.009,-0.000
4,3,1,0.009,0.001
4,3,2,0.009,-0.025
4,3,3,0.009,0.000
5,0,0,0.023,0.000
5,0,1,0.023,-0.026
5,0,2,0.023,0.002
5,0,3,0.023,-0.000
5,1,0,0.023,-0.026
5,1,1,0.023,0.000
5,1,2,0.023,-0.027
5,1,3,0.023,0.002
5,2,0,0.023,0.002
5,2,1,0.023,-0.027
5,2,2,0.023,0.000
5,2,3,0.023,-0.026
5,3,0,0.023,-0.000
5,3,1,0.023,0.002
5,3,2,0.023,-0.026
5,3,3,0.023,0.000
6,0,0,0.038,0.000
6,0,1,0.038,-0.027
6,0,2,0.038,0.004
6,0,3,0.038,-0.000
6,1,0,0.038,-0.027
6,1,1,0.038,0.000
6,1,2,0.038,-0.029
6,1,3,0.038,0.004
6,2,0,0.038,0.004
6,2,1,0.038,-0.029
6,2,2,0.038,0.000
6,2,3,0.038,-0.027
6,3,0,0.038,-0.000
6,3,1,0.038,0.004
6,3,2,0.038,-0.027
6,3,3,0.038,0.000
7,0,0,0.053,0.000
7,0,1,0.053,-0.027
7,0,2,0.053,0.006
7,0,3,0.053,-0.000
7,1,0,0.053,-0.027
7,1,1,0.053,0.000
7,1,2,0.053,-0.031
7,1,3,0.053,0.006
7,2,0,0.053,0.006
7,2,1,0.053,-0.031
7,2,2,0.053,0.000
7,2,3,0.053,-0.028
7,3,0,0.053,-0.000
7,3,1,0.053,0.006
7,3,2,0.053,-0.028
7,3,3,0.053,0.000
8,0,0,0.068,0.000
8,0,1,0.068,-0.028
8,0,2,0.068,0.007
8,0,3,0.068,-0.001
8,1,0,0.068,-0.028
8,1,1,0.068,0.000
8,1,2,0.068,-0.033
8,1,3,0.068,0.007
8,2,0,0.068,0.007
8,2,1,0.068,-0.033
8,2,2,0.068,0.000
8,2,3,0.068,-0.028
8,3,0,0.068,-0.001
8,3,1,0.068,0.007
8,3,2,0.068,-0.028
8,3,3,0.068,0.000
9,0,0,0.083,0.000
9,0,1,0.083,-0.029
9,0,2,0.083,0.009
9,0,3,0.083,-0.001
9,1,0,0.083,-0.029
9,1,1,0.083,0.000
9,1,2,0.083,-0.035
9,1,3,0.083,0.009
9,2,0,0.083,0.009
9,2,1,0.083,-0.035
9,2,2,0.083,0.000
9,2,3,0.083,-0.029
9,3,0,0.083,-0.001
9,3,1,0.083,0.009
9,3,2,0.083,-0.029
9,3,3,0.083,0.000
10,0,0,0.097,0.000
10,0,1,0.097,-0.029
10,0,2,0.097,0.011
10,0,3,0.097,-0.002
10,1,0,0.097,-0.029
10,1,1,0.097,0.000
10,1,2,0.097,-0.037
10,1,3,0.097,0.011
10,2,0,0.097,0.011
10,2,1,0.097,-0.037
10,2,2,0.097,0.000
10,2,3,0.097,-0.029
10,3,0,0.097,-0.002
10,3,1,0.097,0.011
10,3,2,0.097,-0.029
10,3,3,0.097,0.000
11,0,0,0.112,0.000
11,0,1,0.112,-0.030
11,0,2,0.112,0.013
11,0,3,0.112,-0.002
11,1,0,0.112,-0.030
11,1,1,0.112,0.000
11,1,2,0.112,-0.039
11,1,3,0.112,0.013
11,2,0,0.112,0.013
11,2,1,0.112,-0.039
11,2,2,0.112,0.000
11,2,3,0.112,-0.030
11,3,0,0.112,-0.002
11,3,1,0.112,0.013
11,3,2,0.112,-0.030
11,3,3,0.112,0.000
12,0,0,0.127,0.000
12,0,1,0.127,-0.030
12,0,2,0.127,0.016
12,0,3,0.127,-0.003
12,1,0,0.127,-0.030
12,1,1,0.127,0.000
12,1,2,0.127,-0.042
12,1,3,0.127,0.015
12,2,0,0.127,0.016
12,2,1,0.127,-0.042
12,2,2,0.127,0.000
12,2,3,0.127,-0.031
12,3,0,0.127,-0.003
12,3,1,0.127,0.015
12,3,2,0.127,-0.031
12,3,3,0.127,0.000
13,0,0,0.142,0.000
13,0,1,0.142,-0.030
13,0,2,0.142,0.018
13,0,3,0.142,-0.004
13,1,0,0.142,-0.030
13,1,1,0.142,0.000
13,1,2,0.142,-0.045
13,1,3,0.142,0.018
13,2,0,0.142,0.018
13,2,1,0.142,-0.045
13,2,2,0.142,0.000
13,2,3,0.142,-0.031
13,3,0,0.142,-0.004
13,3,1,0.142,0.018
13,3,2,0.142,-0.031
13,3,3,0.142,0.000
14,0,0,0.157,0.000
14,0,1,0.157,-0.031
14,0,2,0.157,0.020
14,0,3,0.157,-0.005
14,1,0,0.157,-0.031
14,1,1,0.157,0.000
14,1,2,0.157,-0.047
14,1,3,0.157,0.020
14,2,0,0.157,0.020
14,2,1,0.157,-0.047
14,2,2,0.157,0.000
14,2,3,0.157,-0.032
14,3,0,0.157,-0.005
14,3,1,0.157,0.020
14,3,2,0.157,-0.032
14,3,3,0.157,0.000
15,0,0,0.172,0.000
15,0,1,0.172,-0.031
15,0,2,0.172,0.023
15,0,3,0.172,-0.007
15,1,0,0.172,-0.031
15,1,1,0.172,0.000
15,1,2,0.172,-0.050
15,1,3,0.172,0.022
15,2,0,0.172,0.023
15,2,1,0.172,-0.050
15,2,2,0.172,0.000
15,2,3,0.172,-0.032
15,3,0,0.172,-0.007
15,3,1,0.172,0.022
15,3,2,0.172,-0.032
15,3,3,0.172,0.000
16,0,0,0.187,0.000
16,0,1,0.187,-0.031
16,0,2,0.187,0.026
16,0,3,0.187,-0.008
16,1,0,0.187,-0.031
16,1,1,0.187,0.000
16,1,2,0.187,-0.054
16,1,3,0.187,0.025
16,2,0,0.187,0.026
16,2,1,0.187,-0.054
16,2,2,0.187,0.000
16,2,3,0.187,-0.033
16,3,0,0.187,-0.008
16,3,1,0.187,0.025
16,3,2,0.187,-0.033
16,3,3,0.187,0.000
17,0,0,0.202,0.000
17,0,1,0.202,-0.031
17,0,2,0.202,0.029
17,0,3,0.202,-0.010
17,1,0,0.202,-0.031
17,1,1,0.202,0.000
17,1,2,0.202,-0.057
17,1,3,0.202,0.027
17,2,0,0.202,0.029
17,2,1,0.202,-0.057
17,2,2,0.202,0.000
17,2,3,0.202,-0.033
17,3,0,0.202,-0.010
17,3,1,0.202,0.027
17,3,2,0.202,-0.033
17,3,3,0.202,0.000
18,0,0,0.218,0.000
18,0,1,0.218,-0.032
18,0,2,0.218,0.032
18,0,3,0.218,-0.011
18,1,0,0.218,-0.032
18,1,1,0.218,0.000
18,1,2,0.218,-0.060
18,1,3,0.218,0.030
18,2,0,0.218,0.032
18,2,1,0.218,-0.060
18,2,2,0.218,0.000
18,2,3,0.218,-0.034
18,3,0,0.218,-0.011
18,3,1,0.218,0.030
18,3,2,0.218,-0.034
18,3,3,0.218,0.000
19,0,0,0.231,0.000
19,0,1,0.231,-0.032
19,0,2,0.231,0.035
19,0,3,0.231,-0.013
19,1,0,0.231,-0.032
19,1,1,0.231,0.000
19,1,2,0.231,-0.064
19,1,3,0.231,0.033
19,2,0,0.231,0.035
19,2,1,0.231,-0.064
19,2,2,0.231,0.000
19,2,3,0.231,-0.034
19,3,0,0.231,-0.013
19,3,1,0.231,0.033
19,3,2,0.231,-0.034
19,3,3,0.231,0.000
20,0,0,0.245,0.000
20,0,1,0.245,-0.032
20,0,2,0.245,0.038
20,0,3,0.245,-0.015
20,1,0,0.245,-0.032
20,1,1,0.245,0.000
20,1,2,0.245,-0.067
20,1,3,0.245,0.035
20,2,0,0.245,0.038
20,2,1,0.245,-0.067
20,2,2,0.245,0.000
20,2,3,0.245,-0.034
20,3,0,0.245,-0.015
20,3,1,0.245,0.035
20,3,2,0.245,-0.034
20,3,3,0.245,0.000
21,0,0,0.259,0.000
21,0,1,0.259,-0.032
21,0,2,0.259,0.041
21,0,3,0.259,-0.017
21,1,0,0.259,-0.032
21,1,1,0.259,0.000
21,1,2,0.259,-0.071
21,1,3,0.259,0.038
21,2,0,0.259,0.041
21,2,1,0.259,-0.071
21,2,2,0.259,0.000
21,2,3,0.259,-0.035
21,3,0,0.259,-0.017
21,3,1,0.259,0.038
21,3,2,0.259,-0.035
21,3,3,0.259,0.000
22,0,0,0.274,0.000
22,0,1,0.274,-0.031
22,0,2,0.274,0.044
22,0,3,0.274,-0.019
22,1,0,0.274,-0.031
22,1,1,0.274,0.000
22,1,2,0.274,-0.074
22,1,3,0.274,0.041
22,2,0,0.274,0.044
22,2,1,0.274,-0.074
22,2,2,0.274,0.000
22,2,3,0.274,-0.035
22,3,0,0.274,-0.019
22,3,1,0.274,0.041
22,3,2,0.274,-0.035
22,3,3,0.274,0.000
23,0,0,0.281,0.000
23,0,1,0.281,-0.031
23,0,2,0.281,0.046
23,0,3,0.281,-0.020
23,1,0,0.281,-0.031
23,1,1,0.281,0.000
23,1,2,0.281,-0.076
23,1,3,0.281,0.042
23,2,0,0.281,0.046
23,2,1,0.281,-0.076
23,2,2,0.281,0.000
23,2,3,0.281,-0.035
23,3,0,0.281,-0.020
23,3,1,0.281,0.042
23,3,2,0.281,-0.035
23,3,3,0.281,0.000
24,0,0,0.289,0.000
24,0,1,0.289,-0.031
24,0,2,0.289,0.048
24,0,3,0.289,-0.022
24,1,0,0.289,-0.031
24,1,1,0.289,0.000
24,1,2,0.289,-0.078
24,1,3,0.289,0.044
24,2,0,0.289,0.048
24,2,1,0.289,-0.078
24,2,2,0.289,0.000
24,2,3,0.289,-0.035
24,3,0,0.289,-0.022
24,3,1,0.289,0.044
24,3,2,0.289,-0.035
24,3,3,0.289,0.000
25,0,0,0.297,0.000
25,0,1,0.297,-0.031
25,0,2,0.297,0.050
25,0,3,0.297,-0.023
25,1,0,0.297,-0.031
25,1,1,0.297,0.000
25,1,2,0.297,-0.081
25,1,3,0.297,0.045
25,2,0,0.297,0.050
25,2,1,0.297,-0.081
25,2,2,0.297,0.000
25,2,3,0.297,-0.035
25,3,0,0.297,-0.023
25,3,1,0.297,0.045
25,3,2,0.297,-0.035
25,3,3,0.297,0.000
26,0,0,0.305,0.000
26,0,1,0.305,-0.031
26,0,2,0.305,0.052
26,0,3,0.305,-0.024
26,1,0,0.305,-0.031
26,1,1,0.305,0.000
26,1,2,0.305,-0.083
26,1,3,0.305,0.047
26,2,0,0.305,0.052
26,2,1,0.305,-0.083
26,2,2,0.305,0.000
26,2,3,0.305,-0.036
26,3,0,0.305,-0.024
26,3,1,0.305,0.047
26,3,2,0.305,-0.036
26,3,3,0.305,0.000
27,0,0,0.313,0.000
27,0,1,0.313,-0.031
27,0,2,0.313,0.054
27,0,3,0.313,-0.026
27,1,0,0.313,-0.031
27,1,1,0.313,0.000
27,1,2,0.313,-0.085
27,1,3,0.313,0.049
27,2,0,0.313,0.054
27,2,1,0.313,-0.085
27,2,2,0.313,0.000
27,2,3,0.313,-0.036
27,3,0,0.313,-0.026
27,3,1,0.313,0.049
27,3,2,0.313,-0.036
27,3,3,0.313,0.000
28,0,0,0.321,0.000
28,0,1,0.321,-0.031
28,0,2,0.321,0.056
28,0,3,0.321,-0.027
28,1,0,0.321,-0.031
28,1,1,0.321,0.000
28,1,2,0.321,-0.087
28,1,3,0.321,0.050
28,2,0,0.321,0.056
28,2,1,0.321,-0.087
28,2,2,0.321,0.000
28,2,3,0.321,-0.036
28,3,0,0.321,-0.027
28,3,1,0.321,0.050
28,3,2,0.321,-0.036
28,3,3,0.321,0.000
29,0,0,0.329,0.000
29,0,1,0.329,-0.031
29,0,2,0.329,0.058
29,0,3,0.329,-0.029
29,1,0,0.329,-0.031
29,1,1,0.329,0.000
29,1,2,0.329,-0.089
29,1,3,0.329,0.052
29,2,0,0.329,0.058
29,2,1,0.329,-0.089
29,2,2,0.329,0.000
29,2,3,0.329,-0.036
29,3,0,0.329,-0.029
29,3,1,0.329,0.052
29,3,2,0.329,-0.036
29,3,3,0.329,0.000
30,0,0,0.337,0.000
30,0,1,0.337,-0.031
30,0,2,0.337,0.060
30,0,3,0.337,-0.030
30,1,0,0.337,-0.031
30,1,1,0.337,0.000
30,1,2,0.337,-0.092
30,1,3,0.337,0.054
30,2,0,0.337,0.060
30,2,1,0.337,-0.092
30,2,2,0.337,0.000
30,2,3,0.337,-0.036
30,3,0,0.337,-0.030
30,3,1,0.337,0.054
30,3,2,0.337,-0.036
30,3,3,0.337,0.000
31,0,0,0.345,0.000
31,0,1,0.345,-0.030
31,0,2,0.345,0.062
31,0,3,0.345,-0.032
31,1,0,0.345,-0.030
31,1,1,0.345,0.000
31,1,2,0.345,-0.094
31,1,3,0.345,0.055
31,2,0,0.345,0.062
31,2,1,0.345,-0.094
31,2,2,0.345,0.000
31,2,3,0.345,-0.036
31,3,0,0.345,-0.032
31,3,1,0.345,0.055
31,3,2,0.345,-0.036
31,3,3,0.345,0.000
32,0,0,0.353,0.000
32,0,1,0.353,-0.030
32,0,2,0.353,0.064
32,0,3,0.353,-0.033
32,1,0,0.353,-0.030
32,1,1,0.353,0.000
32,1,2,0.353,-0.096
32,1,3,0.353,0.057
32,2,0,0.353,0.064
32,2,1,0.353,-0.096
32,2,2,0.353,0.000
32,2,3,0.353,-0.036
32,3,0,0.353,-0.033
32,3,1,0.353,0.057
32,3,2,0.353,-0.036
32,3,3,0.353,0.000
33,0,0,0.361,0.000
33,0,1,0.361,-0.030
33,0,2,0.361,0.067
33,0,3,0.361,-0.035
33,1,0,0.361,-0.030
33,1,1,0.361,0.000
33,1,2,0.361,-0.099
33,1,3,0.361,0.058
33,2,0,0.361,0.067
33,2,1,0.361,-0.099
33,2,2,0.361,0.000
33,2,3,0.361,-0.036
33,3,0,0.361,-0.035
33,3,1,0.361,0.058
33,3,2,0.361,-0.036
33,3,3,0.361,0.000
34,0,0,0.369,0.000
34,0,1,0.369,-0.030
34,0,2,0.369,0.069
34,0,3,0.369,-0.037
34,1,0,0.369,-0.030
34,1,1,0.369,0.000
34,1,2,0.369,-0.101
34,1,3,0.369,0.060
34,2,0,0.369,0.069
34,2,1,0.369,-0.101
34,2,2,0.369,0.000
34,2,3,0.369,-0.036
34,3,0,0.369,-0.037
34,3,1,0.369,0.060
34,3,2,0.369,-0.036
34,3,3,0.369,0.000
35,0,0,0.377,0.000
35,0,1,0.377,-0.030
35,0,2,0.377,0.071
35,0,3,0.377,-0.038
35,1,0,0.377,-0.030
35,1,1,0.377,0.000
35,1,2,0.377,-0.103
35,1,3,0.377,0.062
35,2,0,0.377,0.071
35,2,1,0.377,-0.103
35,2,2,0.377,0.000
35,2,3,0.377,-0.036
35,3,0,0.377,-0.038
35,3,1,0.377,0.062
35,3,2,0.377,-0.036
35,3,3,0.377,0.000
36,0,0,0.385,0.000
36,0,1,0.385,-0.029
36,0,2,0.385,0.073
36,0,3,0.385,-0.040
36,1,0,0.385,-0.029
36,1,1,0.385,0.000
36,1,2,0.385,-0.106
36,1,3,0.385,0.063
36,2,0,0.385,0.073
36,2,1,0.385,-0.106
36,2,2,0.385,0.000
36,2,3,0.385,-0.036
36,3,0,0.385,-0.040
36,3,1,0.385,0.063
36,3,2,0.385,-0.036
36,3,3,0.385,0.000
37,0,0,0.393,0.000
37,0,1,0.393,-0.029
37,0,2,0.393,0.076
37,0,3,0.393,-0.042
37,1,0,0.393,-0.029
37,1,1,0.393,0.000
37,1,2,0.393,-0.108
37,1,3,0.393,0.065
37,2,0,0.393,0.076
37,2,1,0.393,-0.108
37,2,2,0.393,0.000
37,2,3,0.393,-0.036
37,3,0,0.393,-0.042
37,3,1,0.393,0.065
37,3,2,0.393,-0.036
37,3,3,0.393,0.000
38,0,0,0.401,0.000
38,0,1,0.401,-0.029
38,0,2,0.401,0.078
38,0,3,0.401,-0.044
38,1,0,0.401,-0.029
38,1,1,0.401,0.000
38,1,2,0.401,-0.110
38,1,3,0.401,0.066
38,2,0,0.401,0.078
38,2,1,0.401,-0.110
38,2,2,0.401,0.000
38,2,3,0.401,-0.037
38,3,0,0.401,-0.044
38,3,1,0.401,0.066
38,3,2,0.401,-0.037
38,3,3,0.401,0.000
39,0,0,0.409,0.000
39,0,1,0.409,-0.029
39,0,2,0.409,0.081
39,0,3,0.409,-0.046
39,1,0,0.409,-0.029
39,1,1,0.409,0.000
39,1,2,0.409,-0.113
39,1,3,0.409,0.068
39,2,0,0.409,0.081
39,2,1,0.409,-0.113
39,2,2,0.409,0.000
39,2,3,0.409,-0.037
39,3,0,0.409,-0.046
39,3,1,0.409,0.068
39,3,2,0.409,-0.037
39,3,3,0.409,0.000
40,0,0,0.417,0.000
40,0,1,0.417,-0.028
40,0,2,0.417,0.083
40,0,3,0.417,-0.047
40,1,0,0.417,-0.028
40,1,1,0.417,0.000
40,1,2,0.417,-0.115
40,1,3,0.417,0.069
40,2,0,0.417,0.083
40,2,1,0.417,-0.115
40,2,2,0.417,0.000
40,2,3,0.417,-0.037
40,3,0,0.417,-0.047
40,3,1,0.417,0.069
40,3,2,0.417,-0.037
40,3,3,0.417,0.000
41,0,0,0.426,0.000
41,0,1,0.426,-0.028
41,0,2,0.426,0.086
41,0,3,0.426,-0.049
41,1,0,0.426,-0.028
41,1,1,0.426,0.000
41,1,2,0.426,-0.118
41,1,3,0.426,0.071
41,2,0,0.426,0.086
41,2,1,0.426,-0.118
41,2,2,0.426,0.000
41,2,3,0.426,-0.037
41,3,0,0.426,-0.049
41,3,1,0.426,0.071
41,3,2,0.426,-0.037
41,3,3,0.426,0.000
42,0,0,0.434,0.000
42,0,1,0.434,-0.028
42,0,2,0.434,0.088
42,0,3,0.434,-0.051
42,1,0,0.434,-0.028
42,1,1,0.434,0.000
42,1,2,0.434,-0.120
42,1,3,0.434,0.072
42,2,0,0.434,0.088
42,2,1,0.434,-0.120
42,2,2,0.434,0.000
42,2,3,0.434,-0.037
42,3,0,0.434,-0.051
42,3,1,0.434,0.072
42,3,2,0.434,-0.037
42,3,3,0.434,0.000
43,0,0,0.442,0.000
43,0,1,0.442,-0.028
43,0,2,0.442,0.091
43,0,3,0.442,-0.053
43,1,0,0.442,-0.028
43,1,1,0.442,0.000
43,1,2,0.442,-0.123
43,1,3,0.442,0.074
43,2,0,0.442,0.091
43,2,1,0.442,-0.123
43,2,2,0.442,0.000
43,2,3,0.442,-0.037
43,3,0,0.442,-0.053
43,3,1,0.442,0.074
43,3,2,0.442,-0.037
