121,4,time,val
0,0,0,0.000,2.187
0,0,1,0.000,1.000
0,0,2,0.000,0.000
0,0,3,0.000,0.000
0,1,0,0.000,1.000
0,1,1,0.000,1.727
0,1,2,0.000,1.000
0,1,3,0.000,0.000
0,2,0,0.000,0.000
0,2,1,0.000,1.000
0,2,2,0.000,0.626
0,2,3,0.000,1.000
0,3,0,0.000,0.000
0,3,1,0.000,0.000
0,3,2,0.000,1.000
0,3,3,0.000,-0.025
1,0,0,0.000,2.187
1,0,1,0.000,1.000
1,0,2,0.000,-0.000
1,0,3,0.000,0.000
1,1,0,0.000,1.000
1,1,1,0.000,1.727
1,1,2,0.000,1.000
1,1,3,0.000,0.000
1,2,0,0.000,-0.000
1,2,1,0.000,1.000
1,2,2,0.000,0.626
1,2,3,0.000,1.000
1,3,0,0.000,0.000
1,3,1,0.000,0.000
1,3,2,0.000,1.000
1,3,3,0.000,-0.025
2,0,0,0.001,2.188
2,0,1,0.001,1.000
2,0,2,0.001,-0.000
2,0,3,0.001,0.000
2,1,0,0.001,1.000
2,1,1,0.001,1.727
2,1,2,0.001,0.999
2,1,3,0.001,0.000
2,2,0,0.001,-0.000
2,2,1,0.001,0.999
2,2,2,0.001,0.625
2,2,3,0.001,1.000
2,3,0,0.001,0.000
2,3,1,0.001,0.000
2,3,2,0.001,1.000
2,3,3,0.001,-0.026
3,0,0,0.002,2.189
3,0,1,0.002,1.000
3,0,2,0.002,-0.001
3,0,3,0.002,-0.000
3,1,0,0.002,1.000
3,1,1,0.002,1.729
3,1,2,0.002,0.997
3,1,3,0.002,0.001
3,2,0,0.002,-0.001
3,2,1,0.002,0.997
3,2,2,0.002,0.624
3,2,3,0.002,0.999
3,3,0,0.002,-0.000
3,3,1,0.002,0.001
3,3,2,0.002,0.999
3,3,3,0.002,-0.028
4,0,0,0.009,2.195
4,0,1,0.009,0.998
4,0,2,0.009,-0.005
4,0,3,0.009,-0.000
4,1,0,0.009,0.998
4,1,1,0.009,1.738
4,1,2,0.009,0.990
4,1,3,0.009,0.004
4,2,0,0.009,-0.005
4,2,1,0.009,0.990
