121,4,time,val
0,0,0.000,2.18719000
0,1,0.000,1.72673000
0,2,0.000,0.62563000
0,3,0.000,-0.02503000
1,0,0.000,2.18728209
1,1,0.000,1.72685812
1,2,0.000,0.62553992
1,3,0.000,-0.02516013
2,0,0.001,2.18765040
2,1,0.001,1.72737043
2,2,0.001,0.62517977
2,3,0.001,-0.02568060
3,0,0.002,2.18912273
3,1,0.002,1.72941741
3,2,0.002,0.62374162
3,3,0.002,-0.02776177
4,0,0.009,2.19499773
4,1,0.009,1.73756811
4,2,0.009,0.61802894
4,3,0.009,-0.03607478
5,0,0.023,2.20860348
5,1,0.023,1.75644438
5,2,0.023,0.60489856
5,3,0.023,-0.05542641
6,0,0.038,2.22194928
6,1,0.038,1.77523434
6,2,0.038,0.59201139
6,3,0.038,-0.07467501
7,0,0.053,2.23498169
7,1,0.053,1.79381633
7,2,0.053,0.57945732
7,3,0.053,-0.09373534
8,0,0.068,2.24772545
8,1,0.068,1.81217465
8,2,0.068,0.56725142
8,3,0.068,-0.11263153
9,0,0.083,2.26020573
9,1,0.083,1.83029426
9,2,0.083,0.55540797
9,3,0.083,-0.13138796
10,0,0.097,2.27244748
10,1,0.097,1.84815967
10,2,0.097,0.54394125
10,3,0.097,-0.15002840
11,0,0.112,2.28447557
11,1,0.112,1.86575488
11,2,0.112,0.53286557
11,3,0.112,-0.16857602
12,0,0.127,2.29631483
12,1,0.127,1.88306319
12,2,0.127,0.52219539
12,3,0.127,-0.18705341
13,0,0.142,2.30799015
13,1,0.142,1.90006708
13,2,0.142,0.51194541
13,3,0.142,-0.20548264
14,0,0.157,2.31952656
14,1,0.157,1.91674810
14,2,0.157,0.50213062
14,3,0.157,-0.22388528
15,0,0.172,2.33094932
15,1,0.172,1.93308673
15,2,0.172,0.49276639
15,3,0.172,-0.24228244
16,0,0.187,2.34228405
16,1,0.187,1.94906227
16,2,0.187,0.48386855
16,3,0.187,-0.26069487
17,0,0.202,2.35355685
17,1,0.202,1.96465273
17,2,0.202,0.47545347
17,3,0.202,-0.27914305
18,0,0.218,2.36479445
18,1,0.218,1.97983472
18,2,0.218,0.46753812
18,3,0.218,-0.29764730
19,0,0.231,2.37473713
19,1,0.231,1.99291949
19,2,0.231,0.46097001
19,3,0.231,-0.31410663
20,0,0.245,2.38461611
20,1,0.245,2.00554761
20,2,0.245,0.45486801
20,3,0.245,-0.33051173
21,0,0.259,2.39444521
21,1,0.259,2.01770104
21,2,0.259,0.44923884
21,3,0.259,-0.34686509
22,0,0.274,2.40424867
22,1,0.274,2.02937464
