228,4,time,val
0,0,0,0.000,-11.698
0,0,1,0.000,1.000
0,0,2,0.000,0.000
0,0,3,0.000,0.000
0,1,0,0.000,1.000
0,1,1,0.000,5.632
0,1,2,0.000,1.000
0,1,3,0.000,0.000
0,2,0,0.000,0.000
0,2,1,0.000,1.000
0,2,2,0.000,-19.307
0,2,3,0.000,1.000
0,3,0,0.000,0.000
0,3,1,0.000,0.000
0,3,2,0.000,1.000
0,3,3,0.000,-23.919
1,0,0,0.000,-11.699
1,0,1,0.000,0.987
1,0,2,0.000,-0.002
1,0,3,0.000,0.000
1,1,0,0.000,0.987
1,1,1,0.000,5.635
1,1,2,0.000,0.973
1,1,3,0.000,0.001
1,2,0,0.000,-0.002
1,2,1,0.000,0.973
1,2,2,0.000,-19.309
1,2,3,0.000,0.999
1,3,0,0.000,0.000
1,3,1,0.000,0.001
1,3,2,0.000,0.999
1,3,3,0.000,-23.919
2,0,0,0.000,-11.701
2,0,1,0.000,0.974
2,0,2,0.000,-0.004
2,0,3,0.000,0.000
2,1,0,0.000,0.974
2,1,1,0.000,5.639
2,1,2,0.000,0.947
2,1,3,0.000,0.002
2,2,0,0.000,-0.004
2,2,1,0.000,0.947
2,2,2,0.000,-19.311
2,2,3,0.000,0.998
2,3,0,0.000,0.000
2,3,1,0.000,0.002
2,3,2,0.000,0.998
2,3,3,0.000,-23.920
3,0,0,0.000,-11.702
3,0,1,0.000,0.962
3,0,2,0.000,-0.005
3,0,3,0.000,0.000
3,1,0,0.000,0.962
3,1,1,0.000,5.642
3,1,2,0.000,0.922
3,1,3,0.000,0.002
3,2,0,0.000,-0.005
3,2,1,0.000,0.922
3,2,2,0.000,-19.312
3,2,3,0.000,0.997
3,3,0,0.000,0.000
3,3,1,0.000,0.002
3,3,2,0.000,0.997
3,3,3,0.000,-23.920
4,0,0,0.000,-11.703
4,0,1,0.000,0.949
4,0,2,0.000,-0.007
4,0,3,0.000,0.000
4,1,0,0.000,0.949
4,1,1,0.000,5.645
4,1,2,0.000,0.896
4,1,3,0.000,0.003
4,2,0,0.000,-0.007
4,2,1,0.000,0.896
4,2,2,0.000,-19.314
4,2,3,0.000,0.996
4,3,0,0.000,0.000
4,3,1,0.000,0.003
4,3,2,0.000,0.996
4,3,3,0.000,-23.921
5,0,0,0.000,-11.705
5,0,1,0.000,0.936
5,0,2,0.000,-0.008
5,0,3,0.000,0.000
5,1,0,0.000,0.936
5,1,1,0.000,5.649
5,1,2,0.000,0.870
5,1,3,0.000,0.004
5,2,0,0.000,-0.008
5,2,1,0.000,0.870
5,2,2,0.000,-19.315
5,2,3,0.000,0.995
5,3,0,0.000,0.000
5,3,1,0.000,0.004
5,3,2,0.000,0.995
5,3,3,0.000,-23.921
6,0,0,0.000,-11.706
6,0,1,0.000,0.922
6,0,2,0.000,-0.010
6,0,3,0.000,0.000
