228,4,time,val
0,0,0.000,-11.69764938
0,1,0.000,5.63162313
0,2,0.000,-19.30743680
0,3,0.000,-23.91895291
1,0,0.000,-11.69912312
1,1,0.000,5.63520308
1,2,0.000,-19.30914848
1,3,0.000,-23.91934745
2,0,0.000,-11.70056047
2,1,0.000,5.63863757
2,2,0.000,-19.31075168
2,3,0.000,-23.91974139
3,0,0.000,-11.70199143
3,1,0.000,5.64200128
3,2,0.000,-19.31228283
3,3,0.000,-23.92014299
4,0,0.000,-11.70341593
4,1,0.000,5.64529490
4,2,0.000,-19.31374235
4,3,0.000,-23.92055259
5,0,0.000,-11.70483287
5,1,0.000,5.64851684
5,2,0.000,-19.31512965
5,3,0.000,-23.92097029
6,0,0.000,-11.70624617
6,1,0.000,5.65167680
6,2,0.000,-19.31644893
6,3,0.000,-23.92139767
7,0,0.000,-11.70765172
7,1,0.000,5.65476636
7,2,0.000,-19.31769662
7,3,0.000,-23.92183399
8,0,0.000,-11.70905168
8,1,0.000,5.65779116
8,2,0.000,-19.31887504
8,3,0.000,-23.92228041
9,0,0.000,-11.71044191
9,1,0.000,5.66074323
9,2,0.000,-19.31998114
9,3,0.000,-23.92273614
10,0,0.000,-11.71182531
10,1,0.000,5.66362978
10,2,0.000,-19.32101778
10,3,0.000,-23.92320266
11,0,0.001,-11.71320246
11,1,0.001,5.66645290
11,2,0.001,-19.32198562
11,3,0.001,-23.92368080
12,0,0.001,-11.71457026
12,1,0.001,5.66920719
12,2,0.001,-19.32288277
12,3,0.001,-23.92417013
13,0,0.001,-11.71593081
13,1,0.001,5.67189795
13,2,0.001,-19.32371099
13,3,0.001,-23.92467212
14,0,0.001,-11.71728110
14,1,0.001,5.67452025
14,2,0.001,-19.32446874
14,3,0.001,-23.92518638
15,0,0.001,-11.71861720
15,1,0.001,5.67706788
15,2,0.001,-19.32515453
15,3,0.001,-23.92571212
16,0,0.001,-11.71994845
16,1,0.001,5.67955986
16,2,0.001,-19.32577354
